#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1		avoton	0:00:26	0.07	0.04	847.14	853.82	846.37	3682.4	55.48	1	index_picard	26.3734	8
1	subset_0_1000000	avoton	0:20:51	0.0	5.5	1567.08	1570.36	1566.37	6837.35	105.51	1	realigner	1251.2329	4
1	subset_0_1000000	avoton	0:05:17	2830.39	4.55	1604.61	1607.65	1604.11	7356.84	630.23	1	realigner	317.4114	8
1		avoton	0:00:00	0.0	0.0	17.47	22.09	14.62	175.21	0.0	1	rule_all	0.0412	4
1		avoton	0:00:00	0.0	0.0	17.49	22.2	14.57	175.21	0.0	1	rule_all	0.0487	2
1	subset_0_1000000	avoton	0:01:30	0.12	90.4	921.18	927.8	920.52	3682.41	114.47	1	mark_duplicates	90.4737	8
1	subset_0_1000000	avoton	0:23:53	0.0	5.65	1595.29	1598.43	1594.6	6837.35	105.39	1	realigner	1433.066	2
1	subset_0_1000000	avoton	0:00:15	0.1	4.06	415.14	421.17	414.14	3680.38	131.55	1	build_bam	15.6351	8
1	subset_0_1000000	avoton	0:01:27	0.0	271.45	1108.99	1114.32	1108.25	3683.42	188.07	1	sort_picard	87.2142	4
1		avoton	0:00:00	0.01	0.0	17.44	22.11	14.7	175.21	0.0	1	rule_all	0.0424	8
1	subset_0_1000000	avoton	0:01:29	0.0	92.54	914.84	921.27	913.94	3682.41	117.99	1	mark_duplicates	89.2817	2
1	subset_0_1000000	avoton	0:03:47	0.0	653.88	5415.2	5418.43	5414.63	5619.71	196.04	1	mapping	227.7912	2
1	subset_0_1000000	avoton	0:00:16	0.0	4.06	421.7	428.07	420.82	3681.96	135.42	1	build_bam	16.168	2
1	subset_0_1000000	avoton	0:10:31	0.0	4.91	1593.09	1596.33	1592.51	6964.82	202.18	1	realigner	631.7478	2
1	subset_0_1000000	avoton	0:01:25	0.0	275.89	1103.83	1109.44	1102.96	3683.42	191.46	1	sort_picard	85.0437	2
1	subset_0_1000000	avoton	0:03:47	0.16	653.88	5415.78	5419.32	5415.11	5619.71	195.93	1	mapping	227.0184	8
1	subset_0_1000000	avoton	0:01:28	27.8	263.07	1091.57	1097.79	1090.88	3749.64	182.18	1	sort_picard	88.1275	8
1	subset_0_1000000	avoton	0:01:27	80.11	265.27	1112.25	1117.98	1111.28	3749.64	185.81	1	sort_picard	87.8572	8
1	subset_0_1000000	avoton	0:01:30	0.0	90.41	953.18	959.6	952.43	3682.41	121.99	1	mark_duplicates	90.7199	4
1	subset_0_1000000	avoton	0:03:48	0.0	653.88	5418.55	5422.09	5417.91	5619.71	194.81	1	mapping	228.0304	4
1	subset_0_1000000	avoton	0:01:37	0.04	236.93	1125.26	1130.57	1124.27	3683.42	182.67	1	sort_picard	97.6882	2
1	subset_0_1000000	avoton	0:00:16	0.0	4.3	418.52	424.66	417.55	3681.96	134.88	1	build_bam	16.583	4
1	subset_0_1000000	avoton	0:04:21	0.0	588.56	5415.37	5418.73	5414.68	5619.71	194.09	1	mapping	261.5226	2
1		avoton	0:00:00	0.0	0.0	17.42	22.13	14.66	175.21	0.0	1	rule_all	0.0427	4
1	subset_0_1000000	avoton	0:01:23	0.0	276.25	1118.41	1123.68	1117.4	3683.42	198.18	1	sort_picard	83.7514	4
1	subset_0_1000000	avoton	0:06:44	0.0	4.61	1604.68	1607.54	1604.18	7094.83	374.82	1	realigner	404.7363	4
1	subset_0_1000000	avoton	0:00:15	0.0	4.06	403.67	410.05	402.93	3680.38	115.59	1	build_bam	15.3005	4
1	subset_0_1000000	avoton	0:21:05	63.69	5.05	1589.78	1593.38	1589.08	6837.35	103.71	1	realigner	1265.4762	8
1	subset_0_1000000	avoton	0:01:45	0.0	68.13	925.13	931.38	924.12	3682.41	96.23	1	mark_duplicates	105.0597	2
1		avoton	0:00:00	0.0	0.0	17.47	22.3	14.66	175.21	0.0	1	rule_all	0.0428	2
