#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_80000	classical	0:00:06	0.0	16.65	782.47	788.75	781.61	5471.98	318.4	1	mark_duplicates	6.7625	1
1	subset_0_50000	classical	0:00:19	0.0	0.01	5249.38	5252.84	5248.87	5427.72	73.81	1	mapping	19.9769	1
1	subset_0_70000	classical	0:00:25	0.0	0.01	5260.71	5263.97	5260.23	5428.64	55.82	1	mapping	25.5442	1
1	subset_0_90000	classical	0:00:03	0.0	1.94	315.9	319.35	315.05	5469.95	210.49	1	build_bam	3.0269	1
1	subset_0_90000	classical	0:00:07	0.0	18.87	770.57	776.55	769.75	5471.98	292.34	1	mark_duplicates	7.2695	1
1	subset_0_50000	classical	0:00:04	0.0	8.31	350.3	353.3	349.47	5469.95	137.04	1	sort_picard	4.2051	1
1	subset_0_20000	classical	0:00:02	0.0	0.93	177.03	182.18	176.19	5469.95	105.33	1	build_bam	2.5273	1
1	subset_0_60000	classical	0:00:03	0.0	1.34	303.21	307.17	302.4	5469.95	165.88	1	build_bam	3.0863	1
1	subset_0_5000	classical	0:00:02	0.0	0.04	71.32	77.2	70.47	5469.95	0.0	1	build_bam	2.4306	1
1	subset_0_60000	classical	0:00:23	0.0	0.01	5253.09	5256.1	5252.63	5427.14	63.7	1	mapping	23.1488	1
1	subset_0_40000	classical	0:00:02	0.0	0.04	72.19	77.92	71.36	5469.95	0.0	1	build_bam	2.7737	1
1	subset_0_20000	classical	0:00:11	0.0	13.05	5208.44	5212.01	5207.93	5423.35	76.74	1	mapping	11.4085	1
1	subset_0_70000	classical	0:00:05	0.0	13.07	496.83	500.91	495.98	5469.95	155.25	1	sort_picard	5.2203	1
1	subset_0_20000	classical	0:00:11	0.0	13.05	5208.5	5212.22	5207.99	5423.35	76.86	1	mapping	11.3996	1
1	subset_0_70000	classical	0:00:02	0.0	0.83	285.81	290.93	284.96	5469.95	147.0	1	build_bam	2.6710000000000003	1
1	subset_0_40000	classical	0:00:20	0.0	0.01	5231.75	5235.3	5231.23	5427.27	69.15	1	mapping	20.5323	1
1	subset_0_40000	classical	0:00:04	0.0	7.52	307.06	310.41	306.26	5469.95	185.64	1	sort_picard	4.0506	1
1	subset_0_10000	classical	0:00:08	0.0	6.54	5193.05	5196.43	5192.55	5421.39	74.93	1	mapping	8.0751	1
1	subset_0_90000	classical	0:00:30	0.0	0.01	5273.42	5276.5	5272.95	5431.64	46.14	1	mapping	30.9532	1
1	subset_0_5000	classical	0:00:06	0.0	3.26	5184.88	5188.34	5184.41	5420.41	62.98	1	mapping	6.9993	1
1	subset_0_40000	classical	0:00:04	0.0	7.0	294.15	297.2	293.3	5469.95	151.0	1	sort_picard	4.1126	1
1	subset_0_90000	classical	0:00:03	0.0	1.36	307.03	310.23	306.22	5469.95	157.48	1	build_bam	3.1083	1
1	subset_0_5000	classical	0:00:03	0.0	0.06	484.55	490.3	483.69	5471.98	183.58	1	mark_duplicates	3.1939	1
1	subset_0_30000	classical	0:00:04	0.0	6.03	634.91	640.8	634.06	5471.98	275.3	1	mark_duplicates	4.6055	1
1	subset_0_10000	classical	0:00:02	0.0	0.04	109.29	115.11	108.47	5469.95	0.0	1	sort_picard	2.7199	1
1	subset_0_20000	classical	0:00:03	0.0	3.07	257.97	260.9	257.17	5469.95	148.69	1	sort_picard	3.5201	1
1	subset_0_80000	classical	0:00:05	0.0	15.24	493.37	497.2	492.51	5469.95	163.56	1	sort_picard	5.7614	1
1	subset_0_60000	classical	0:00:05	0.0	12.63	722.65	728.68	721.83	5471.98	353.32	1	mark_duplicates	5.6408	1
1	subset_0_5000	classical	0:00:02	0.0	0.52	168.21	174.35	167.37	5469.95	125.27	1	sort_picard	2.3508	1
1	subset_0_90000	classical	0:00:07	0.0	18.61	739.12	745.31	738.29	5471.98	320.35	1	mark_duplicates	7.3604	1
1	subset_0_5000	classical	0:00:02	0.0	1.12	544.27	550.35	543.43	5471.98	349.62	1	mark_duplicates	2.9148	1
1	subset_0_80000	classical	0:00:05	0.0	13.4	500.17	503.66	499.32	5469.95	153.99	1	sort_picard	5.4454	1
1	subset_0_30000	classical	0:00:14	0.0	19.57	5223.43	5227.17	5222.95	5423.81	79.75	1	mapping	14.4116	1
1	subset_0_50000	classical	0:00:04	0.0	7.86	346.03	350.04	345.21	5469.95	137.15	1	sort_picard	4.2772	1
1	subset_0_10000	classical	0:00:03	0.0	2.21	575.48	581.92	574.66	5473.99	287.87	1	mark_duplicates	3.4923	1
1	subset_0_20000	classical	0:00:03	0.0	1.98	630.97	635.99	630.16	5471.98	251.82	1	mark_duplicates	3.866	1
1	subset_0_70000	classical	0:00:05	0.0	13.85	495.02	498.7	494.18	5469.95	160.02	1	sort_picard	5.1309	1
1	subset_0_30000	classical	0:00:03	0.0	4.34	314.68	316.84	313.84	5469.95	158.03	1	sort_picard	3.6136	1
1	subset_0_50000	classical	0:00:02	0.0	0.4	185.33	189.16	184.51	5469.95	101.62	1	build_bam	2.7616	1
1	subset_0_80000	classical	0:00:07	0.0	16.76	773.62	779.39	772.78	5473.94	296.33	1	mark_duplicates	7.2853	1
1	subset_0_80000	classical	0:00:28	0.0	0.01	5266.64	5269.79	5266.18	5428.64	50.13	1	mapping	28.4155	1
1	subset_0_60000	classical	0:00:05	0.0	10.77	723.69	729.86	722.86	5471.98	306.19	1	mark_duplicates	5.9764	1
1	subset_0_5000	classical	0:00:02	0.0	0.04	95.7	100.18	94.89	5469.95	0.0	1	sort_picard	2.5449	1
1	subset_0_60000	classical	0:00:04	0.0	10.05	496.21	500.34	495.36	5469.95	174.3	1	sort_picard	4.7859	1
1	subset_0_30000	classical	0:00:02	0.0	0.04	70.81	76.87	69.96	5469.95	0.0	1	build_bam	2.6794	1
1	subset_0_50000	classical	0:00:05	0.0	9.84	723.0	729.13	722.17	5471.98	352.68	1	mark_duplicates	5.231	1
1	subset_0_80000	classical	0:00:30	0.0	0.01	5266.78	5270.09	5266.31	5428.64	46.31	1	mapping	30.7716	1
1	subset_0_30000	classical	0:00:02	0.0	0.2	105.47	110.54	104.62	5469.95	0.0	1	build_bam	2.5497	1
1	subset_0_20000	classical	0:00:02	0.0	0.75	155.85	160.72	155.0	5469.95	89.52	1	build_bam	2.4868	1
1	subset_0_90000	classical	0:00:05	0.0	17.3	541.54	545.04	540.68	5469.95	174.89	1	sort_picard	5.7809	1
1		classical	0:00:00	0.0	0.0	17.72	22.36	14.9	175.02	0.0	1	rule_all	0.0386	1
1	subset_0_10000	classical	0:00:02	0.0	1.45	166.03	170.37	165.21	5469.95	106.55	1	build_bam	2.3757	1
1	subset_0_10000	classical	0:00:02	0.0	1.99	218.21	224.52	217.34	5469.95	114.11	1	sort_picard	2.8543	1
1	subset_0_30000	classical	0:00:13	0.0	19.57	5223.54	5227.56	5223.03	5423.81	82.73	1	mapping	13.9118	1
1	subset_0_10000	classical	0:00:08	0.0	0.01	5193.79	5197.32	5193.29	5421.39	65.83	1	mapping	8.3032	1
1	subset_0_5000	classical	0:06:59	0.0	0.53	8218.01	8219.48	8217.34	36309.73	111.08	1	realigner	419.2186	1
1	subset_0_60000	classical	0:06:54	0.0	1.51	8219.89	8220.74	8219.34	36310.04	111.17	1	realigner	414.0776	1
1	subset_0_40000	classical	0:00:04	0.0	6.57	644.96	650.91	644.12	5471.98	257.58	1	mark_duplicates	4.8789	1
1	subset_0_20000	classical	0:00:02	0.0	3.18	263.25	265.17	262.41	5469.95	185.45	1	sort_picard	2.9464	1
1	subset_0_5000	classical	0:00:02	0.0	0.04	71.15	76.85	70.35	5469.95	0.0	1	build_bam	2.4111	1
1	subset_0_90000	classical	0:06:54	0.0	1.8	8234.29	8234.85	8233.71	36310.04	111.31	1	realigner	414.7101	1
1	subset_0_60000	classical	0:00:22	0.0	0.01	5254.96	5258.39	5254.46	5427.14	62.57	1	mapping	22.7113	1
1	subset_0_30000	classical	0:00:04	0.0	6.35	626.38	632.91	625.54	5473.96	265.49	1	mark_duplicates	4.5638	1
1	subset_0_50000	classical	0:00:02	0.0	0.23	153.78	158.99	152.96	5469.95	0.0	1	build_bam	2.6956	1
1	subset_0_60000	classical	0:00:03	0.0	1.77	313.53	317.61	312.7	5469.95	146.2	1	build_bam	3.0	1
1	subset_0_10000	classical	0:06:43	0.0	0.62	8212.07	8213.33	8211.44	36309.73	106.51	1	realigner	403.0655	1
1	subset_0_50000	classical	0:06:50	0.0	1.42	8223.93	8225.73	8223.36	36309.73	112.02	1	realigner	410.8349	1
1	subset_0_40000	classical	0:00:05	0.0	5.52	640.6	646.48	639.77	5471.99	253.46	1	mark_duplicates	5.0297	1
1	subset_0_700000	classical	0:00:37	0.0	144.25	980.84	983.53	979.93	5472.99	341.31	1	sort_picard	37.9172	1
1	subset_0_80000	classical	0:00:02	0.0	2.1	313.07	316.64	312.22	5469.95	166.65	1	build_bam	2.9392	1
1	subset_0_800000	classical	0:00:06	0.0	3.69	512.51	515.48	511.59	5469.96	175.35	1	build_bam	6.6416	1
1	subset_0_40000	classical	0:06:25	0.0	1.21	10203.14	10204.0	10202.59	36309.73	110.43	1	realigner	385.5105	1
1	subset_0_50000	classical	0:00:20	0.0	0.01	5248.91	5252.43	5248.41	5427.72	70.47	1	mapping	20.1602	1
1	subset_0_30000	classical	0:07:03	0.0	1.03	10237.08	10237.8	10236.51	36309.73	108.75	1	realigner	423.0389	1
1	subset_0_80000	classical	0:06:51	0.0	1.74	8226.59	8227.62	8226.02	36309.73	111.76	1	realigner	411.0774	1
1	subset_0_500000	classical	0:00:24	0.0	51.44	884.13	890.38	883.19	5471.98	236.0	1	mark_duplicates	24.1168	1
1	subset_0_100000	classical	0:00:07	0.0	20.95	774.42	780.11	773.47	5475.82	285.03	1	mark_duplicates	7.8349	1
1	subset_0_100000	classical	0:00:03	0.0	1.99	305.32	308.62	304.4	5469.96	182.73	1	build_bam	3.0767	1
1	subset_0_60000	classical	0:00:04	0.0	11.5	498.88	501.81	498.05	5469.95	167.22	1	sort_picard	4.6114	1
1	subset_0_80000	classical	0:00:03	0.0	1.73	307.9	312.89	307.06	5469.95	148.03	1	build_bam	3.1151	1
1	subset_0_5000	classical	0:00:06	0.0	0.01	5185.82	5189.42	5185.31	5420.41	65.83	1	mapping	6.7132	1
1	subset_0_600000	classical	0:00:05	0.0	3.66	493.81	497.16	492.91	5469.96	166.5	1	build_bam	5.7745	1
1	subset_0_10000	classical	0:00:03	0.0	2.21	565.67	571.79	564.83	5471.98	349.57	1	mark_duplicates	3.4611	1
1	subset_0_300000	classical	0:01:34	0.0	131.05	5288.58	5292.3	5288.02	5431.64	79.58	1	mapping	94.5162	1
1	subset_0_90000	classical	0:00:34	0.0	0.01	5273.38	5276.8	5272.86	5431.64	41.59	1	mapping	34.358000000000004	1
1	subset_0_70000	classical	0:00:25	0.0	0.01	5260.18	5263.55	5259.73	5428.64	55.26	1	mapping	25.7478	1
1	subset_0_70000	classical	0:00:02	0.0	0.24	175.61	180.44	174.76	5469.95	92.1	1	build_bam	2.7702	1
1	subset_0_20000	classical	0:06:29	0.0	0.83	8552.31	8553.39	8551.68	36309.73	110.06	1	realigner	389.3377	1
1	subset_0_20000	classical	0:00:03	0.0	2.48	627.56	633.04	626.72	5471.98	243.14	1	mark_duplicates	3.8174	1
1	subset_0_70000	classical	0:06:51	0.0	1.62	8209.96	8210.59	8209.36	36309.73	111.91	1	realigner	411.2046	1
1	subset_0_500000	classical	0:00:05	0.0	3.52	476.67	479.15	475.71	5469.96	165.63	1	build_bam	5.2141	1
1	subset_0_70000	classical	0:00:06	0.0	13.22	753.06	758.65	752.24	5471.98	301.48	1	mark_duplicates	6.4543	1
1	subset_0_500000	classical	0:07:33	0.0	3.48	10285.88	10286.97	10285.19	36309.73	109.88	1	realigner	453.1096	1
1	subset_0_90000	classical	0:00:05	0.0	17.96	536.44	539.54	535.61	5469.95	158.0	1	sort_picard	5.6896	1
1	subset_0_500000	classical	0:00:28	0.0	144.27	962.64	966.04	961.71	5472.99	456.64	1	sort_picard	28.9584	1
1	subset_0_300000	classical	0:00:17	0.0	140.41	1044.55	1047.95	1043.6	5472.99	372.34	1	sort_picard	17.6429	1
1	subset_0_50000	classical	0:00:05	0.0	8.78	716.17	722.48	715.32	5472.0	334.67	1	mark_duplicates	5.3942	1
1		classical	0:00:00	0.0	0.0	17.72	22.33	14.89	175.02	0.0	1	rule_all	0.0403	1
1	subset_0_600000	classical	0:00:34	0.0	139.48	981.14	983.41	980.21	5472.99	390.4	1	sort_picard	34.44	1
1	subset_0_40000	classical	0:00:02	0.0	2.1	310.46	314.88	309.62	5473.84	166.42	1	build_bam	2.915	1
1	subset_0_900000	classical	0:00:07	0.0	3.88	512.68	516.16	511.74	5471.87	157.53	1	build_bam	7.0946	1
