s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	rule	n_sim	cpu_type	threads	#cpu
3757.0216	1:02:37	4445.21	4464.94	4441.21	4441.62	0.0	6655.8	99.4	index_bwa	1	xeond	1	1
3756.1942	1:02:36	4445.25	4464.94	4441.21	4441.62	0.0	6655.8	99.4	index_bwa	2	xeond	1	1
3781.5867	1:03:01	4445.36	4464.94	4441.21	4441.63	0.0	6655.8	99.52	index_bwa	3	xeond	1	1
3796.5919	1:03:16	4445.25	4464.94	4441.21	4441.62	0.0	6655.8	99.13	index_bwa	4	xeond	1	1
3812.8363	1:03:32	4445.38	4464.94	4441.22	4441.64	0.0	6655.8	99.5	index_bwa	5	xeond	1	1
3807.5974	1:03:27	4445.22	4464.94	4441.21	4441.62	0.0	7935.2	99.63	index_bwa	6	xeond	1	1
3766.4219	1:02:46	4445.27	4464.94	4441.21	4441.62	0.0	6655.8	99.13	index_bwa	7	xeond	1	1
3748.9293	1:02:28	4445.38	4464.94	4441.21	4441.63	0.0	6655.8	99.59	index_bwa	8	xeond	1	1
3779.8463	1:02:59	4445.3	4464.94	4441.21	4441.61	0.0	6655.8	99.56	index_bwa	9	xeond	1	1
3808.5967	1:03:28	4445.27	4464.94	4441.22	4441.64	0.0	7134.49	99.61	index_bwa	10	xeond	1	1
