#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1		n3700	0:01:01	27.04	0.05	1025.41	1032.59	1024.8	3352.34	73.73	1	index_picard	61.0259	4
1	subset_0_1000000	n3700	0:24:45	2975.98	5.37	806.88	810.27	806.26	4288.51	102.1	1	realigner	1485.0479999999998	4
1	subset_0_1000000	n3700	0:01:34	0.26	83.41	908.56	914.46	906.95	3354.35	102.45	1	mark_duplicates	94.4956	4
1	subset_0_1000000	n3700	0:00:17	0.14	3.93	414.49	420.5	412.89	3352.32	121.61	1	build_bam	17.5256	4
1	subset_0_1000000	n3700	0:01:34	225.49	242.53	1054.59	1059.95	1052.99	3421.59	137.32	1	sort_picard	94.7494	4
1		n3700	2:06:40	8592.0	6655.8	4441.13	4444.25	4441.0	4467.51	99.69	1	index_bwa	7600.2212	4
1		n3700	0:00:00	3.96	0.0	19.38	22.24	18.3	177.52	0.0	1	rule_all	0.036000000000000004	4
1	subset_0_1000000	n3700	0:02:32	4692.51	523.14	5682.87	5685.51	5682.64	5894.02	300.79	1	mapping	152.6639	4
1		n3700	0:02:02	2.69	0.01	18.96	29.11	17.12	126.11	83.37	1	index_samtools	122.4542	4
1	subset_0_1000000	n3700	0:22:48	2836.23	5.25	843.98	847.86	843.04	4290.08	102.41	1	realigner	1368.9214	2
1	subset_0_1000000	n3700	0:01:33	167.8	244.3	1065.48	1071.38	1064.14	3355.37	140.89	1	sort_picard	93.8338	2
1	subset_0_1000000	n3700	0:01:33	0.11	84.97	919.19	925.08	917.86	3354.35	103.2	1	mark_duplicates	93.2497	2
1	subset_0_1000000	n3700	0:04:39	4857.39	588.56	5418.72	5422.34	5418.01	5622.01	173.81	1	mapping	279.8542	2
1	subset_0_1000000	n3700	0:00:17	0.0	3.84	404.9	410.98	403.58	3352.32	117.16	1	build_bam	17.7154	2
1		n3700	0:00:00	0.45	0.0	16.74	22.08	14.54	177.51	0.0	1	rule_all	0.0394	2
1	subset_0_1000000	n3700	0:04:45	5159.05	523.14	5417.9	5421.26	5417.27	5622.01	170.03	2	mapping	285.0565	2
1	subset_0_1000000	n3700	0:24:52	3024.28	5.43	837.15	840.96	836.24	4288.51	103.41	2	realigner	1492.03	2
1	subset_0_1000000	n3700	0:01:35	78.08	238.07	1051.98	1058.29	1051.03	3355.37	133.67	2	sort_picard	95.7072	2
1		n3700	0:00:00	1.53	0.0	17.48	22.05	14.73	177.52	0.0	2	rule_all	0.036000000000000004	2
1	subset_0_1000000	n3700	0:01:38	0.65	78.02	914.78	921.29	913.72	3354.35	96.81	2	mark_duplicates	98.1007	2
1	subset_0_1000000	n3700	0:00:17	0.14	3.84	406.51	413.21	405.45	3352.32	120.15	2	build_bam	17.8155	2
1	subset_0_1000000	n3700	0:00:17	0.03	3.99	402.64	408.57	401.29	3352.32	115.76	2	build_bam	17.3532	4
1	subset_0_1000000	n3700	0:01:33	236.35	244.88	1064.91	1070.59	1063.55	3355.37	140.52	2	sort_picard	93.5184	4
