#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	bio8	0:00:42	0.0	25.17	995.75	1001.57	994.92	5471.98	197.65	1	mark_duplicates	42.6748	32
1	subset_0_1000000	bio8	0:00:50	0.0	446.07	1145.82	1148.36	1144.96	5472.99	467.45	1	sort_picard	50.7337	2
1	subset_0_1000000	bio8	0:00:42	0.0	27.46	989.87	996.59	989.27	5471.99	200.68	1	mark_duplicates	42.4745	8
1	subset_0_1000000	bio8	0:00:42	0.0	25.54	976.18	982.31	975.36	5471.98	209.34	1	mark_duplicates	42.3553	2
1		bio8	0:00:00	0.0	0.0	17.69	22.54	14.74	174.97	0.0	1	rule_all	0.0355	2
1	subset_0_1000000	bio8	0:02:46	0.0	525.86	5404.67	5408.45	5404.13	5567.49	161.72	1	mapping	166.3867	2
1	subset_0_1000000	bio8	0:07:31	0.0	5.08	8436.57	8437.08	8435.99	36311.55	110.25	1	realigner	451.7465	2
1	subset_0_1000000	bio8	0:00:50	0.0	445.83	1182.52	1185.09	1181.8	5472.99	462.51	1	sort_picard	50.907	16
1	subset_0_1000000	bio8	0:00:07	0.0	3.88	520.99	524.48	520.28	5469.96	147.09	1	build_bam	7.775	16
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	509.05	512.69	508.45	5469.96	176.8	1	build_bam	7.4624	8
1	subset_0_1000000	bio8	0:00:51	0.0	525.86	6002.75	6006.85	6002.39	6419.69	646.64	1	mapping	51.8719	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	520.6	524.39	519.9	5469.96	171.08	1	build_bam	7.9099	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	518.59	522.16	517.74	5469.96	157.37	1	build_bam	7.497000000000001	32
1		bio8	0:00:00	0.0	0.0	17.72	22.58	14.8	174.98	0.0	1	rule_all	0.0411	8
1	subset_0_1000000	bio8	0:08:21	0.0	5.14	10244.43	10245.47	10243.97	36309.73	112.55	1	realigner	501.8329	4
1	subset_0_1000000	bio8	0:00:42	0.0	25.42	981.08	987.81	980.37	5471.98	194.12	1	mark_duplicates	42.4181	16
1	subset_0_1000000	bio8	0:08:22	0.0	5.16	10244.17	10245.04	10243.62	36311.55	112.16	1	realigner	502.1338	32
1	subset_0_1000000	bio8	0:00:42	0.0	20.72	998.08	1004.4	997.41	5471.98	188.39	1	mark_duplicates	42.7466	4
1	subset_0_1000000	bio8	0:08:20	0.0	5.4	9168.4	9170.27	9167.99	36309.73	112.57	1	realigner	500.6866	8
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6384.86	6383.74	6384.37	8241.33	1220.95	1	mapping	27.183000000000003	32
1		bio8	0:00:00	0.0	0.0	17.65	22.47	14.75	174.98	0.0	1	rule_all	0.0441	16
1		bio8	0:00:00	0.0	0.0	17.62	22.43	14.76	174.97	0.0	1	rule_all	0.0359	32
1	subset_0_1000000	bio8	0:00:50	0.0	445.95	1129.8	1133.71	1129.13	5472.99	453.64	1	sort_picard	50.8806	4
1	subset_0_1000000	bio8	0:00:50	0.0	448.48	1150.22	1153.23	1149.62	5472.99	442.07	1	sort_picard	50.7659	8
1	subset_0_1000000	bio8	0:00:50	0.0	446.11	1151.35	1155.0	1150.5	5472.99	452.12	1	sort_picard	50.7748	32
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6214.04	6215.83	6213.59	7102.03	531.86	1	mapping	32.7984	16
1		bio8	0:00:00	0.0	0.0	17.76	22.48	14.96	174.98	0.0	1	rule_all	0.0377	4
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5632.03	5635.75	5631.61	5891.44	329.69	1	mapping	88.2146	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	501.28	504.9	500.43	5469.96	179.52	1	build_bam	7.4019	2
1	subset_0_1000000	bio8	0:07:58	0.0	5.11	10265.1	10266.17	10264.59	36309.73	110.41	1	realigner	478.9709	16
1	subset_0_1000000	bio8	0:00:51	0.0	525.86	6000.97	6004.83	6000.55	6419.69	642.24	2	mapping	51.8149	8
1	subset_0_1000000	bio8	0:00:42	0.0	24.94	1000.68	1007.29	999.98	5471.98	195.34	2	mark_duplicates	42.2299	4
1	subset_0_1000000	bio8	0:00:42	0.0	21.02	994.67	1000.85	994.04	5473.91	191.06	2	mark_duplicates	42.6897	8
1	subset_0_1000000	bio8	0:07:36	0.0	5.09	8275.1	8276.64	8274.66	36309.73	108.68	2	realigner	456.8305	4
1	subset_0_1000000	bio8	0:00:07	0.0	3.88	508.2	512.23	507.48	5469.96	159.2	2	build_bam	7.7631	4
1	subset_0_1000000	bio8	0:00:50	0.0	451.49	1156.36	1159.86	1155.68	5472.99	461.39	2	sort_picard	50.2533	4
1		bio8	0:00:00	0.0	0.0	17.73	22.58	14.8	174.98	0.0	2	rule_all	0.0358	32
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5628.1	5631.84	5627.64	5891.44	327.32	2	mapping	88.8525	4
1	subset_0_1000000	bio8	0:00:07	0.0	3.88	516.75	519.36	516.07	5469.96	154.87	2	build_bam	7.7329	16
1		bio8	0:00:00	0.0	0.0	17.63	22.58	14.62	174.97	0.0	2	rule_all	0.0368	8
1	subset_0_1000000	bio8	0:08:03	0.0	5.14	9521.1	9521.99	9520.51	36313.42	109.76	2	realigner	483.3219	32
1		bio8	0:00:00	0.0	0.0	17.61	22.3	14.76	174.97	0.0	2	rule_all	0.0404	4
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6372.79	6372.42	6372.3	8241.33	1186.72	2	mapping	27.4627	32
1	subset_0_1000000	bio8	0:00:08	0.0	4.1	507.48	510.01	506.65	5469.96	156.0	2	build_bam	8.041	32
1	subset_0_1000000	bio8	0:00:50	0.0	447.1	1166.99	1170.86	1166.17	5472.99	455.98	2	sort_picard	50.6979	32
1	subset_0_1000000	bio8	0:00:42	0.0	22.96	975.75	981.55	974.92	5471.98	203.03	2	mark_duplicates	42.3528	2
1	subset_0_1000000	bio8	0:07:58	0.0	5.25	8500.05	8501.6	8499.57	36311.65	110.5	2	realigner	478.5485	16
1		bio8	0:00:00	0.0	0.0	17.59	22.38	14.69	174.97	0.0	2	rule_all	0.0227	2
1	subset_0_1000000	bio8	0:00:51	0.0	440.57	1164.18	1167.49	1163.34	5472.99	432.01	2	sort_picard	51.7949	2
1	subset_0_1000000	bio8	0:00:42	0.0	23.07	983.35	989.62	982.63	5471.98	198.7	2	mark_duplicates	42.687	16
1	subset_0_1000000	bio8	0:00:51	0.0	443.66	1158.35	1162.01	1157.76	5472.99	463.18	2	sort_picard	51.1553	8
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6213.18	6214.48	6212.75	7102.03	524.82	2	mapping	32.6749	16
1	subset_0_1000000	bio8	0:00:51	0.0	438.62	1164.98	1168.55	1164.28	5472.99	452.98	2	sort_picard	51.6515	16
1	subset_0_1000000	bio8	0:00:07	0.0	4.34	510.32	513.67	509.73	5469.96	159.7	2	build_bam	7.8979	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.03	520.4	523.32	519.57	5469.96	152.1	2	build_bam	7.6021	2
1	subset_0_1000000	bio8	0:08:02	0.0	5.1	8281.99	8283.5	8281.41	36310.04	110.0	2	realigner	482.6521	2
1	subset_0_1000000	bio8	0:02:47	0.0	525.86	5406.5	5410.01	5406.0	5567.49	161.31	2	mapping	167.0208	2
1	subset_0_1000000	bio8	0:08:06	0.0	5.1	8282.75	8284.39	8282.3	36309.73	109.78	2	realigner	486.8835	8
1	subset_0_1000000	bio8	0:00:42	0.0	21.48	1004.96	1011.56	1004.11	5471.99	189.6	2	mark_duplicates	42.5193	32
1		bio8	0:00:00	0.0	0.0	17.72	22.41	14.93	174.98	0.0	2	rule_all	0.0384	16
1	subset_0_1000000	bio8	0:07:56	0.0	5.11	8281.31	8282.6	8280.85	36309.73	111.38	3	realigner	476.0086	16
1		bio8	0:00:00	0.0	0.0	17.53	22.44	14.62	174.97	0.0	3	rule_all	0.0408	16
1	subset_0_1000000	bio8	0:08:03	0.0	5.11	10291.43	10293.49	10290.94	36311.65	109.69	3	realigner	483.9372	4
1	subset_0_1000000	bio8	0:00:50	0.0	447.79	1180.18	1183.65	1179.52	5472.99	457.07	3	sort_picard	50.7456	16
1	subset_0_1000000	bio8	0:00:08	0.0	4.1	511.31	514.69	510.46	5469.96	151.71	3	build_bam	8.0181	32
1		bio8	0:00:00	0.0	0.0	17.57	22.38	14.69	174.97	0.0	3	rule_all	0.0372	8
1	subset_0_1000000	bio8	0:00:43	0.0	18.75	992.53	998.75	991.66	5471.99	186.69	3	mark_duplicates	43.7046	2
1	subset_0_1000000	bio8	0:00:42	0.0	22.96	1014.43	1020.78	1013.75	5471.98	201.23	3	mark_duplicates	42.5331	4
1	subset_0_1000000	bio8	0:00:42	0.0	22.55	991.33	998.25	990.68	5473.94	209.54	3	mark_duplicates	42.9972	8
1	subset_0_1000000	bio8	0:00:50	0.0	448.02	1186.31	1189.5	1185.5	5472.99	460.5	3	sort_picard	50.5616	2
1		bio8	0:00:00	0.0	0.0	17.68	22.3	14.87	174.97	0.0	3	rule_all	0.0364	2
1	subset_0_1000000	bio8	0:00:51	0.0	442.73	1186.97	1190.41	1186.32	5472.99	452.96	3	sort_picard	51.1663	4
1	subset_0_1000000	bio8	0:00:42	0.0	24.35	977.38	983.89	976.54	5471.98	198.74	3	mark_duplicates	42.8612	32
1	subset_0_1000000	bio8	0:08:07	0.0	5.13	8492.56	8493.92	8492.12	36309.73	108.39	3	realigner	487.56199999999995	8
1	subset_0_1000000	bio8	0:08:25	0.0	5.14	10343.16	10344.2	10342.56	36309.73	112.39	3	realigner	505.1133	2
1	subset_0_1000000	bio8	0:00:52	0.0	525.86	6006.43	6010.38	6006.03	6419.69	638.85	3	mapping	52.4577	8
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6371.53	6370.48	6371.04	8241.33	1183.6	3	mapping	27.2592	32
1	subset_0_1000000	bio8	0:00:50	0.0	448.82	1177.56	1179.93	1176.96	5472.99	450.9	3	sort_picard	50.5152	8
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6225.26	6226.55	6224.87	7102.03	541.55	3	mapping	32.3245	16
1	subset_0_1000000	bio8	0:00:42	0.0	27.34	968.43	975.04	967.74	5473.79	195.82	3	mark_duplicates	42.0278	16
1		bio8	0:00:00	0.0	0.0	17.8	22.5	14.93	174.97	0.0	3	rule_all	0.0377	32
1	subset_0_1000000	bio8	0:02:46	0.0	525.86	5404.09	5407.74	5403.6	5567.49	161.43	3	mapping	166.5898	2
1	subset_0_1000000	bio8	0:00:50	0.0	453.11	1161.95	1164.94	1161.12	5472.99	461.21	3	sort_picard	50.0607	32
1	subset_0_1000000	bio8	0:07:56	0.0	5.11	9052.47	9053.1	9051.91	36309.73	112.05	3	realigner	476.2868	32
1		bio8	0:00:00	0.0	0.0	17.72	22.56	14.78	174.97	0.0	3	rule_all	0.0381	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	512.02	515.25	511.32	5469.96	158.24	3	build_bam	7.5356	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	506.71	509.39	505.89	5469.96	160.29	3	build_bam	7.3716	2
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5626.69	5630.32	5626.3	5891.44	327.46	3	mapping	88.8092	4
1	subset_0_1000000	bio8	0:00:08	0.0	4.1	517.12	520.19	516.45	5469.96	151.79	3	build_bam	8.0828	16
1	subset_0_1000000	bio8	0:00:07	0.0	4.03	512.0	514.85	511.38	5469.96	151.46	3	build_bam	7.6494	8
1	subset_0_1000000	bio8	0:00:50	0.0	444.22	1171.48	1173.66	1170.64	5472.99	457.58	4	sort_picard	50.9831	32
1		bio8	0:00:00	0.0	0.0	17.78	22.5	14.93	174.97	0.0	4	rule_all	0.0393	8
1		bio8	0:00:00	0.0	0.0	17.78	22.57	14.89	174.97	0.0	4	rule_all	0.0399	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	505.57	509.12	504.91	5469.96	169.95	4	build_bam	7.4493	8
1		bio8	0:00:00	0.0	0.0	17.61	22.4	14.71	174.97	0.0	4	rule_all	0.040999999999999995	32
1	subset_0_1000000	bio8	0:00:52	0.0	525.86	5999.5	6003.38	5999.11	6419.69	641.21	4	mapping	52.0765	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.34	512.61	515.31	511.78	5469.96	159.11	4	build_bam	7.2688	32
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6395.63	6393.95	6395.14	8241.33	1243.21	4	mapping	27.1952	32
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5627.34	5630.86	5626.91	5891.44	328.98	4	mapping	88.5671	4
1	subset_0_1000000	bio8	0:07:57	0.0	5.11	10319.59	10320.34	10319.1	36309.73	111.86	4	realigner	477.17199999999997	4
1	subset_0_1000000	bio8	0:00:50	0.0	447.1	1167.46	1170.77	1166.77	5472.99	455.0	4	sort_picard	50.6759	4
1	subset_0_1000000	bio8	0:00:41	0.0	26.32	1003.29	1009.59	1002.58	5471.98	194.55	4	mark_duplicates	41.9189	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	510.6	513.57	509.88	5469.96	162.26	4	build_bam	7.4769	4
1	subset_0_1000000	bio8	0:00:50	0.0	446.53	1208.08	1211.64	1207.27	5472.99	453.29	4	sort_picard	50.7605	2
