#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	bio8	0:00:42	0.0	24.11	983.6	989.32	982.84	5471.98	207.27	1	mark_duplicates	42.4443	32
1	subset_0_1000000	bio8	0:00:50	0.0	446.88	1141.31	1144.5	1140.44	5472.99	455.64	1	sort_picard	50.9653	16
1	subset_0_1000000	bio8	0:01:36	0.0	4.18	10641.17	10642.03	10640.57	36829.76	657.45	1	realigner	96.2314	8
1		bio8	0:00:00	0.0	0.0	17.66	22.4	14.89	175.02	0.0	1	rule_all	0.0378	32
1	subset_0_1000000	bio8	0:00:49	0.0	453.68	1156.69	1158.8	1155.84	5472.99	454.36	1	sort_picard	49.9292	4
1	subset_0_1000000	bio8	0:00:51	0.0	439.89	1150.99	1154.0	1150.15	5472.99	439.12	1	sort_picard	51.6528	8
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6219.8	6221.27	6219.27	7102.03	535.14	1	mapping	32.3715	16
1		bio8	0:00:00	0.0	0.0	17.64	22.35	14.87	175.02	0.0	1	rule_all	0.0368	16
1	subset_0_1000000	bio8	0:00:51	0.0	439.41	1201.05	1204.66	1200.32	5472.99	455.03	1	sort_picard	51.7648	32
1	subset_0_1000000	bio8	0:00:40	0.0	31.98	1008.16	1014.57	1007.66	5471.98	181.75	1	mark_duplicates	40.4364	24
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6352.39	6353.04	6352.06	7665.3	997.95	1	mapping	27.8245	24
1	subset_0_1000000	bio8	0:00:06	0.0	4.1	508.02	511.87	507.5	5469.96	162.79	1	build_bam	6.6329	24
1	subset_0_1000000	bio8	0:00:47	0.0	467.25	1167.84	1171.7	1167.33	5472.99	439.61	1	sort_picard	47.8378	24
1		bio8	0:00:00	0.0	0.0	17.53	22.42	14.66	175.02	0.0	1	rule_all	0.0248	24
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	519.43	522.57	518.54	5469.96	170.51	1	build_bam	7.4344	2
1	subset_0_1000000	bio8	0:01:12	0.0	3.67	10623.94	10623.56	10623.42	37351.35	1043.01	1	realigner	72.2247	16
1	subset_0_1000000	bio8	0:00:28	0.0	0.01	6368.63	6367.18	6368.21	8241.33	1146.97	1	mapping	28.1783	32
1	subset_0_1000000	bio8	0:02:45	0.0	525.86	5405.34	5408.9	5404.83	5567.49	163.49	1	mapping	165.0334	2
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5628.85	5632.29	5628.33	5891.44	327.16	1	mapping	88.8615	4
1	subset_0_1000000	bio8	0:01:14	0.0	3.63	10806.82	10806.52	10806.33	38389.85	1559.51	1	realigner	74.6357	32
1		bio8	0:00:00	0.0	0.0	17.8	22.57	14.95	175.02	0.0	1	rule_all	0.037000000000000005	4
1	subset_0_1000000	bio8	0:01:03	0.0	4.22	10828.78	10829.71	10828.42	37869.82	1718.35	1	realigner	63.6792	24
1	subset_0_1000000	bio8	0:00:44	0.0	10.72	974.16	980.26	973.29	5471.98	283.97	1	mark_duplicates	44.5636	4
1		bio8	0:00:00	0.0	0.0	17.62	22.33	14.83	175.02	0.0	1	rule_all	0.0366	2
1	subset_0_1000000	bio8	0:00:42	0.0	22.0	989.0	995.49	988.09	5471.98	203.17	1	mark_duplicates	42.9233	2
1	subset_0_1000000	bio8	0:04:31	0.0	4.96	10619.92	10620.51	10619.32	36439.73	207.38	1	realigner	271.1367	2
1	subset_0_1000000	bio8	0:00:07	0.0	3.97	489.23	492.53	488.38	5469.96	163.98	1	build_bam	7.6624	8
1	subset_0_1000000	bio8	0:00:52	0.0	434.82	1190.72	1194.03	1189.84	5472.99	454.68	1	sort_picard	52.2202	2
1	subset_0_1000000	bio8	0:00:42	0.0	22.43	988.59	994.92	987.71	5472.0	220.94	1	mark_duplicates	42.4692	8
1	subset_0_1000000	bio8	0:02:43	0.0	4.41	10584.48	10585.43	10583.87	36569.74	356.09	1	realigner	163.0146	4
1		bio8	0:00:00	0.0	0.0	17.58	22.38	14.72	175.02	0.0	1	rule_all	0.0363	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	512.81	515.8	512.07	5469.96	169.1	1	build_bam	7.3775	32
1	subset_0_1000000	bio8	0:00:07	0.0	3.88	523.75	526.65	522.88	5469.96	151.34	1	build_bam	7.2336	4
1	subset_0_1000000	bio8	0:00:07	0.0	4.04	510.55	513.78	509.68	5469.96	143.56	1	build_bam	7.6461	16
1	subset_0_1000000	bio8	0:00:52	0.0	525.86	6006.05	6009.96	6005.5	6419.69	639.13	1	mapping	52.1281	8
1	subset_0_1000000	bio8	0:00:43	0.0	21.25	1001.3	1007.5	1000.42	5471.98	188.67	1	mark_duplicates	43.3875	16
1	subset_0_1000000	bio8	0:00:07	0.0	3.97	510.99	514.4	510.14	5471.87	159.68	2	build_bam	7.7989	4
1	subset_0_1000000	bio8	0:00:42	0.0	24.61	974.77	981.67	973.99	5472.0	204.42	2	mark_duplicates	42.497	16
1	subset_0_1000000	bio8	0:00:50	0.0	445.83	1165.97	1168.82	1165.11	5472.99	449.6	2	sort_picard	50.9229	4
1	subset_0_1000000	bio8	0:00:41	0.0	26.53	991.46	997.67	990.66	5471.98	198.34	2	mark_duplicates	41.9465	32
1	subset_0_1000000	bio8	0:00:07	0.0	4.03	510.08	513.43	509.17	5469.96	182.2	2	build_bam	7.0082	2
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6216.96	6218.57	6216.5	7102.03	532.3	2	mapping	32.6584	16
1	subset_0_1000000	bio8	0:02:46	0.0	525.86	5403.97	5407.68	5403.45	5567.49	161.66	2	mapping	166.945	2
1	subset_0_1000000	bio8	0:00:07	0.0	4.35	518.62	521.54	517.74	5469.96	175.73	2	build_bam	7.7879	8
1	subset_0_1000000	bio8	0:01:33	0.0	4.36	10604.25	10605.26	10603.63	36831.52	682.74	2	realigner	93.8596	8
1	subset_0_1000000	bio8	0:00:51	0.0	441.14	1166.6	1170.05	1165.67	5472.99	446.79	2	sort_picard	51.2766	2
1	subset_0_1000000	bio8	0:00:51	0.0	442.51	1170.0	1173.59	1169.21	5472.99	456.05	2	sort_picard	51.1019	16
1	subset_0_1000000	bio8	0:01:11	0.0	3.67	10676.76	10677.6	10676.26	37349.79	1054.72	2	realigner	71.3578	16
1	subset_0_1000000	bio8	0:00:52	0.0	525.86	5998.57	6002.39	5998.07	6419.69	638.98	2	mapping	52.0659	8
1	subset_0_1000000	bio8	0:00:41	0.0	26.76	987.67	993.96	986.84	5471.98	195.17	2	mark_duplicates	41.9848	4
1	subset_0_1000000	bio8	0:02:32	0.0	4.87	10639.22	10640.5	10638.65	36569.74	381.88	2	realigner	152.10299999999995	4
1	subset_0_1000000	bio8	0:04:18	0.0	4.61	10550.53	10551.3	10549.96	36439.73	197.16	2	realigner	258.2735	2
1	subset_0_1000000	bio8	0:00:51	0.0	440.8	1198.65	1202.32	1197.76	5472.99	449.36	2	sort_picard	51.367	8
1		bio8	0:00:00	0.0	0.0	17.6	22.46	14.73	175.02	0.0	2	rule_all	0.0369	16
1	subset_0_1000000	bio8	0:01:11	0.0	3.73	10859.12	10857.33	10858.61	38391.41	1635.6	2	realigner	71.4776	32
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5629.12	5632.48	5628.62	5891.44	329.83	2	mapping	88.3463	4
1	subset_0_1000000	bio8	0:00:06	0.0	4.1	501.1	504.21	500.57	5469.96	152.78	2	build_bam	6.5604	24
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6351.73	6352.39	6351.41	7665.3	989.79	2	mapping	27.9466	24
1	subset_0_1000000	bio8	0:00:42	0.0	21.59	984.64	990.88	983.79	5471.98	215.61	2	mark_duplicates	42.747	2
1	subset_0_1000000	bio8	0:00:42	0.0	25.17	988.61	995.12	987.72	5471.98	185.64	2	mark_duplicates	42.3593	8
1		bio8	0:00:00	0.0	0.0	17.65	22.54	14.73	175.02	0.0	2	rule_all	0.0349	8
1	subset_0_1000000	bio8	0:00:49	0.0	453.23	1157.26	1160.42	1156.48	5472.99	452.46	2	sort_picard	49.9333	32
1	subset_0_1000000	bio8	0:00:07	0.0	4.34	521.61	524.49	520.86	5469.96	185.43	2	build_bam	7.9265	32
1		bio8	0:00:00	0.0	0.0	17.74	22.57	14.91	175.02	0.0	2	rule_all	0.0415	4
1	subset_0_1000000	bio8	0:00:08	0.0	4.35	513.49	515.63	512.69	5469.96	166.62	2	build_bam	8.3855	16
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6363.34	6362.56	6362.91	8241.33	1178.04	2	mapping	27.1726	32
1		bio8	0:00:00	0.0	0.0	17.78	22.58	14.96	175.02	0.0	2	rule_all	0.0351	2
1	subset_0_1000000	bio8	0:00:48	0.0	462.75	1200.14	1203.51	1199.61	5472.99	451.75	2	sort_picard	48.4114	24
1	subset_0_1000000	bio8	0:01:02	0.0	4.37	10793.98	10794.77	10793.61	37869.82	1785.03	2	realigner	62.1327	24
1	subset_0_1000000	bio8	0:00:40	0.0	32.38	1032.08	1038.73	1031.58	5472.0	178.51	2	mark_duplicates	40.97	24
1		bio8	0:00:00	0.0	0.0	17.66	22.33	14.93	175.02	0.0	2	rule_all	0.0275	24
1		bio8	0:00:00	0.0	0.0	17.7	22.58	14.79	175.02	0.0	2	rule_all	0.0237	32
1	subset_0_1000000	bio8	0:01:28	0.0	525.86	5632.31	5636.05	5631.78	5891.44	328.09	3	mapping	88.6793	4
1	subset_0_1000000	bio8	0:01:14	0.0	3.6	10782.32	10782.04	10781.8	38389.85	1623.92	3	realigner	74.0451	32
1	subset_0_1000000	bio8	0:00:07	0.0	4.1	498.23	501.23	497.46	5471.87	160.44	3	build_bam	7.9702	16
1	subset_0_1000000	bio8	0:02:48	0.0	591.61	5411.08	5414.79	5410.57	5567.49	195.24	3	mapping	168.4789	2
1		bio8	0:00:00	0.0	0.0	17.54	22.29	14.76	175.02	0.0	3	rule_all	0.038	32
1	subset_0_1000000	bio8	0:00:42	0.0	23.88	1002.28	1008.43	1001.5	5471.98	200.56	3	mark_duplicates	42.5337	16
1	subset_0_1000000	bio8	0:00:07	0.0	4.35	509.06	512.14	508.28	5469.96	157.72	3	build_bam	7.8435	32
1	subset_0_1000000	bio8	0:02:40	0.0	4.54	10598.23	10599.43	10597.62	36569.74	362.15	3	realigner	160.1757	4
1	subset_0_1000000	bio8	0:01:12	0.0	3.55	10595.74	10595.06	10595.24	37353.11	1014.85	3	realigner	72.2153	16
1	subset_0_1000000	bio8	0:00:50	0.0	450.7	1180.96	1184.34	1180.19	5472.99	465.13	3	sort_picard	50.2526	32
1	subset_0_1000000	bio8	0:00:32	0.0	0.01	6212.32	6213.67	6211.89	7102.03	529.16	3	mapping	32.7373	16
1	subset_0_1000000	bio8	0:00:41	0.0	31.55	995.73	1002.48	995.21	5471.98	186.05	3	mark_duplicates	41.0377	24
1		bio8	0:00:00	0.0	0.0	17.52	22.41	14.65	175.02	0.0	3	rule_all	0.0254	24
1	subset_0_1000000	bio8	0:00:48	0.0	465.5	1189.93	1193.62	1189.42	5472.99	465.73	3	sort_picard	48.0545	24
1	subset_0_1000000	bio8	0:00:52	0.0	525.86	6004.24	6008.13	6003.71	6419.69	638.65	3	mapping	52.2564	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.03	511.3	514.84	510.43	5471.87	152.57	3	build_bam	7.0571	8
1		bio8	0:00:00	0.0	0.0	17.79	22.56	14.98	175.02	0.0	3	rule_all	0.0349	4
1	subset_0_1000000	bio8	0:00:06	0.0	4.1	505.46	510.21	504.93	5469.96	154.86	3	build_bam	6.7111	24
1	subset_0_1000000	bio8	0:00:26	0.0	0.01	6383.14	6382.07	6382.72	8241.33	1217.47	3	mapping	26.8911	32
1		bio8	0:00:00	0.0	0.0	17.6	22.44	14.8	175.02	0.0	3	rule_all	0.0377	2
1	subset_0_1000000	bio8	0:00:42	0.0	24.61	970.13	976.16	969.25	5471.98	191.84	3	mark_duplicates	42.2501	8
1	subset_0_1000000	bio8	0:00:50	0.0	448.36	1161.58	1164.15	1160.75	5472.99	457.61	3	sort_picard	50.5154	2
1	subset_0_1000000	bio8	0:00:07	0.0	3.88	508.57	511.68	507.72	5469.96	161.83	3	build_bam	7.1678	2
1	subset_0_1000000	bio8	0:00:51	0.0	444.0	1161.78	1165.16	1160.93	5472.99	446.96	3	sort_picard	51.0493	4
1	subset_0_1000000	bio8	0:01:37	0.0	4.25	10660.69	10663.45	10660.13	36829.76	651.62	3	realigner	97.8653	8
1	subset_0_1000000	bio8	0:00:50	0.0	449.53	1160.58	1163.63	1159.71	5472.99	453.67	3	sort_picard	50.2738	8
1	subset_0_1000000	bio8	0:00:27	0.0	0.01	6341.35	6342.06	6341.03	7665.3	981.82	3	mapping	27.8538	24
1	subset_0_1000000	bio8	0:00:43	0.0	17.67	973.51	980.22	972.71	5471.98	208.59	3	mark_duplicates	43.302	32
1		bio8	0:00:00	0.0	0.0	17.73	22.54	14.87	175.02	0.0	3	rule_all	0.037000000000000005	8
1	subset_0_1000000	bio8	0:00:07	0.0	4.03	507.81	510.98	506.93	5469.96	155.99	3	build_bam	7.6048	4
1	subset_0_1000000	bio8	0:00:51	0.0	442.39	1142.39	1145.16	1141.62	5472.99	449.79	3	sort_picard	51.1573	16
1		bio8	0:00:00	0.0	0.0	17.63	22.33	14.84	175.02	0.0	3	rule_all	0.0422	16
1	subset_0_1000000	bio8	0:01:06	0.0	4.07	10840.11	10840.85	10839.74	37869.82	1700.42	3	realigner	66.2956	24
1	subset_0_1000000	bio8	0:00:42	0.0	22.88	984.28	990.02	983.41	5471.98	200.06	3	mark_duplicates	42.6617	4
1	subset_0_1000000	bio8	0:00:42	0.0	19.75	999.43	1005.9	998.53	5472.0	236.55	3	mark_duplicates	42.7484	2
