#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	xeond	0:00:08	0.14	4.06	414.19	420.59	413.31	3681.24	105.4	1	build_bam	8.7709	32
1	subset_0_1000000	xeond	0:02:09	0.0	523.14	5415.37	5418.87	5414.67	5619.99	161.13	1	mapping	129.1064	2
1	subset_0_1000000	xeond	0:00:48	0.0	0.01	5979.67	5981.74	5978.89	6420.25	183.63	1	mapping	48.7429	8
1	subset_0_1000000	xeond	0:00:47	0.0	119.21	923.42	928.9	922.23	3683.26	129.21	1	mark_duplicates	47.0628	2
1	subset_0_1000000	xeond	0:11:38	0.0	4.7	1521.26	1524.71	1520.4	6816.73	103.81	1	realigner	698.4968	2
1	subset_0_1000000	xeond	0:00:52	0.0	268.74	1097.74	1102.29	1096.43	3684.28	201.32	1	sort_picard	52.7657	2
1		xeond	0:00:00	0.0	0.0	17.0	21.55	14.1	169.01	0.0	1	rule_all	0.0235	2
1	subset_0_1000000	xeond	0:00:53	0.44	264.3	1094.02	1098.57	1092.78	3684.28	196.19	1	sort_picard	53.9855	16
1	subset_0_1000000	xeond	0:11:59	0.0	4.73	1456.79	1460.2	1455.91	6816.73	103.98	1	realigner	719.0226	16
1	subset_0_1000000	xeond	0:11:34	0.02	4.7	1437.75	1441.58	1436.88	6816.73	103.78	1	realigner	694.5158	8
1	subset_0_1000000	xeond	0:00:45	0.0	11.15	929.67	935.2	928.41	3683.26	72.59	1	mark_duplicates	45.2571	8
1	subset_0_1000000	xeond	0:00:53	0.01	264.89	1093.34	1098.43	1092.13	3684.28	199.22	1	sort_picard	53.5189	4
1	subset_0_1000000	xeond	0:00:55	27.75	255.1	1120.3	1125.82	1119.41	3750.5	186.71	1	sort_picard	55.7376	32
1		xeond	0:00:00	0.3	0.0	17.19	21.73	14.33	169.02	0.0	1	rule_all	0.0149	8
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	413.42	419.34	412.19	3681.24	111.53	1	build_bam	8.293	4
1	subset_0_1000000	xeond	0:01:25	340.56	0.01	6166.89	6168.29	6166.1	7020.59	169.8	1	mapping	85.9445	16
1	subset_0_1000000	xeond	0:02:19	5177.05	653.88	6344.6	6343.8	6343.99	8241.89	197.36	1	mapping	139.7867	32
1	subset_0_1000000	xeond	0:01:10	0.0	392.32	5657.38	5660.32	5656.61	5892.0	241.2	1	mapping	70.9149	4
1	subset_0_1000000	xeond	0:00:53	2.44	265.24	1096.91	1101.57	1095.61	3684.28	198.5	1	sort_picard	53.6142	8
1	subset_0_1000000	xeond	0:00:45	0.12	8.65	928.32	934.67	927.45	3683.26	65.82	1	mark_duplicates	45.9212	32
1	subset_0_1000000	xeond	0:00:45	0.0	12.13	941.9	947.51	940.7	3683.26	70.09	1	mark_duplicates	45.7498	16
1		xeond	0:00:00	0.01	0.0	17.0	21.59	14.2	169.02	0.0	1	rule_all	0.025	32
1	subset_0_1000000	xeond	0:11:25	0.0	4.71	1543.61	1547.35	1542.74	6816.73	105.44	1	realigner	685.8459	4
1	subset_0_1000000	xeond	0:00:08	0.0	3.99	420.72	426.57	419.46	3681.24	110.23	1	build_bam	8.44	8
1	subset_0_1000000	xeond	0:11:47	3033.82	5.1	1446.05	1450.19	1445.43	6954.95	105.58	1	realigner	707.3416	32
1		xeond	0:00:00	0.0	0.0	17.04	21.63	14.11	169.02	0.0	1	rule_all	0.0148	16
1		xeond	0:00:00	0.0	0.0	17.19	21.77	14.3	169.01	0.0	1	rule_all	0.0239	4
1	subset_0_1000000	xeond	0:00:45	0.0	10.3	942.59	947.96	941.41	3683.26	74.25	1	mark_duplicates	45.4661	4
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	412.5	418.08	411.3	3681.24	115.3	1	build_bam	8.1475	2
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	409.58	415.7	408.23	3681.24	110.55	1	build_bam	8.1929	16
1		xeond	0:00:00	0.05	0.0	17.12	21.72	14.27	169.02	0.0	2	rule_all	0.0247	8
1		xeond	0:00:00	0.0	0.0	17.06	21.73	14.14	169.02	0.0	2	rule_all	0.021	4
1	subset_0_1000000	xeond	0:00:08	0.0	3.93	418.01	423.91	416.77	3681.24	105.63	2	build_bam	8.0166	8
1	subset_0_1000000	xeond	0:00:47	0.0	115.99	920.76	926.44	919.52	3683.26	129.46	2	mark_duplicates	47.0175	4
1	subset_0_1000000	xeond	0:00:08	0.0	3.99	416.97	422.71	415.73	3681.24	113.09	2	build_bam	8.5524	4
1	subset_0_1000000	xeond	0:11:50	0.0	4.73	1525.92	1529.48	1524.98	6816.73	107.17	2	realigner	710.6452	4
1	subset_0_1000000	xeond	0:01:14	0.0	0.01	6454.25	6453.04	6453.81	8241.89	272.35	2	mapping	74.921	32
1	subset_0_1000000	xeond	0:01:11	0.0	392.32	5651.05	5654.38	5650.25	5892.0	239.88	2	mapping	71.1422	4
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	421.63	427.59	420.38	3681.24	114.46	2	build_bam	8.1956	16
1	subset_0_1000000	xeond	0:11:17	0.0	5.09	1429.43	1433.08	1428.55	6948.74	106.56	2	realigner	677.688	8
