#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	xeond	0:00:08	0.14	4.06	423.03	429.44	422.16	3681.24	103.39	1	build_bam	8.2983	8
1	subset_0_1000000	xeond	0:01:13	197.95	392.32	5657.29	5660.36	5656.54	5892.0	215.59	1	mapping	73.7823	4
1	subset_0_1000000	xeond	0:00:57	27.8	249.46	1100.5	1105.96	1099.71	3750.5	180.29	1	sort_picard	57.3745	8
1	subset_0_1000000	xeond	0:02:07	0.0	523.14	5415.65	5419.14	5414.88	5619.99	164.55	1	mapping	127.0152	2
1	subset_0_1000000	xeond	0:00:46	0.0	118.03	939.22	944.72	937.95	3683.26	131.08	1	mark_duplicates	46.4854	2
1		xeond	0:00:00	0.0	0.0	17.2	21.7	14.41	169.02	0.0	1	rule_all	0.0237	2
1	subset_0_1000000	xeond	0:00:45	0.0	11.64	930.39	935.89	929.08	3683.26	66.26	1	mark_duplicates	45.773	4
1	subset_0_1000000	xeond	0:00:53	0.01	265.36	1099.36	1104.05	1098.12	3684.28	197.51	1	sort_picard	53.4106	4
1	subset_0_1000000	xeond	0:00:08	0.0	4.31	410.42	416.23	409.14	3681.24	113.27	1	build_bam	8.0996	4
1	subset_0_1000000	xeond	0:06:13	0.0	4.52	1496.27	1499.7	1495.39	6948.74	194.43	1	realigner	373.0065	2
1	subset_0_1000000	xeond	0:02:46	3033.93	4.79	1585.04	1588.1	1584.41	7346.97	664.51	1	realigner	166.1471	8
1	subset_0_1000000	xeond	0:00:45	0.12	10.79	942.82	949.04	941.94	3683.26	76.31	1	mark_duplicates	45.6109	8
1	subset_0_1000000	xeond	0:03:22	0.0	4.63	1587.94	1590.92	1586.98	7078.75	398.8	1	realigner	202.4299	4
1	subset_0_1000000	xeond	0:02:03	5178.09	299.16	6087.56	6091.63	6087.04	6356.02	166.96	1	mapping	123.91	8
1		xeond	0:00:00	0.01	0.0	17.08	21.71	14.25	169.02	0.0	1	rule_all	0.022000000000000002	8
1		xeond	0:00:00	0.0	0.0	17.17	21.77	14.22	169.02	0.0	1	rule_all	0.0218	4
1	subset_0_1000000	xeond	0:00:09	0.0	4.31	412.8	418.64	411.53	3683.24	107.44	1	build_bam	9.0954	2
1	subset_0_1000000	xeond	0:00:53	0.0	266.78	1096.62	1101.5	1095.34	3684.28	201.45	1	sort_picard	53.1771	2
1	subset_0_1000000	xeond	0:00:45	0.2	10.06	925.56	930.71	924.0	3683.26	71.54	2	mark_duplicates	45.8732	8
1		xeond	0:00:00	0.45	0.0	17.44	21.81	14.68	169.02	0.0	2	rule_all	0.0278	8
1	subset_0_1000000	xeond	0:00:45	0.0	9.7	918.36	924.2	917.06	3683.26	67.16	2	mark_duplicates	45.896	4
1	subset_0_1000000	xeond	0:00:08	0.01	4.06	405.06	410.75	403.55	3681.24	106.17	2	build_bam	8.9123	8
1	subset_0_1000000	xeond	0:00:48	0.02	653.88	5970.17	5972.4	5969.79	6420.25	524.42	2	mapping	48.231	8
1		xeond	0:00:00	0.0	0.0	17.2	21.68	14.37	169.02	0.0	2	rule_all	0.0222	4
1	subset_0_1000000	xeond	0:00:53	0.0	267.45	1094.45	1099.3	1093.18	3684.28	200.07	2	sort_picard	53.1162	4
1	subset_0_1000000	xeond	0:01:10	0.0	392.32	5654.74	5657.84	5653.99	5892.0	244.2	2	mapping	70.4487	4
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	411.56	417.34	410.25	3681.24	108.42	2	build_bam	8.1891	4
1	subset_0_1000000	xeond	0:00:53	0.0	266.78	1089.44	1094.19	1088.18	3684.28	200.6	2	sort_picard	53.0918	2
1	subset_0_1000000	xeond	0:06:37	0.0	4.52	1543.79	1547.09	1542.92	6946.74	197.9	2	realigner	397.837	2
1	subset_0_1000000	xeond	0:02:55	182.49	4.38	1595.71	1598.07	1595.19	7338.77	657.15	2	realigner	175.6793	8
1	subset_0_1000000	xeond	0:00:55	6.33	253.8	1091.5	1096.05	1089.94	3684.28	188.29	2	sort_picard	55.989	8
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	418.87	424.82	417.56	3681.24	109.48	2	build_bam	8.2511	2
1	subset_0_1000000	xeond	0:02:08	0.0	523.14	5416.23	5419.3	5415.45	5619.99	163.03	2	mapping	128.0495	2
1		xeond	0:00:00	0.0	0.0	17.13	21.64	14.25	169.02	0.0	2	rule_all	0.0235	2
1	subset_0_1000000	xeond	0:03:36	0.0	4.19	1591.51	1594.25	1590.59	7078.75	369.92	2	realigner	216.5053	4
1	subset_0_1000000	xeond	0:00:45	0.0	9.34	925.36	930.64	924.09	3683.26	71.08	2	mark_duplicates	45.9114	2
1	subset_0_1000000	xeond	0:03:28	0.0	4.4	1589.58	1592.5	1588.7	7078.75	385.8	3	realigner	208.678	4
1	subset_0_1000000	xeond	0:05:56	0.0	4.5	1603.57	1606.57	1602.71	6948.74	205.15	3	realigner	356.9967	2
1	subset_0_1000000	xeond	0:02:07	0.0	523.14	5415.87	5419.16	5415.12	5619.99	163.62	3	mapping	127.4729	2
1	subset_0_1000000	xeond	0:00:08	0.0	4.31	417.6	423.67	416.29	3681.24	115.07	3	build_bam	8.5841	4
1	subset_0_1000000	xeond	0:00:52	0.0	268.5	1093.4	1097.95	1092.06	3684.28	202.7	3	sort_picard	52.7157	2
1	subset_0_1000000	xeond	0:00:44	95.06	0.01	5928.21	5930.36	5927.5	6420.25	168.17	3	mapping	44.5589	8
1		xeond	0:00:00	0.44	0.0	17.12	21.45	14.34	169.02	0.0	3	rule_all	0.0169	8
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	418.63	424.36	417.34	3681.24	109.39	3	build_bam	8.1935	2
1		xeond	0:00:00	0.0	0.0	17.24	21.75	14.39	169.02	0.0	3	rule_all	0.0224	4
1	subset_0_1000000	xeond	0:02:48	85.89	4.68	1602.67	1605.42	1601.85	7338.77	694.99	3	realigner	168.0489	8
1	subset_0_1000000	xeond	0:00:08	0.0	4.31	425.79	431.41	424.49	3681.24	108.55	3	build_bam	8.1069	8
1	subset_0_1000000	xeond	0:00:54	72.82	263.61	1095.99	1100.21	1094.71	3684.28	196.98	3	sort_picard	54.1037	8
1	subset_0_1000000	xeond	0:00:45	0.0	11.64	917.9	923.67	916.7	3683.26	67.08	3	mark_duplicates	45.5851	8
1	subset_0_1000000	xeond	0:00:45	0.0	11.4	930.04	935.45	928.77	3683.26	72.96	3	mark_duplicates	45.0919	2
1	subset_0_1000000	xeond	0:00:46	0.0	118.5	932.25	937.42	930.97	3683.26	131.8	3	mark_duplicates	46.3425	4
1	subset_0_1000000	xeond	0:00:53	0.0	267.23	1097.6	1102.3	1096.29	3684.28	201.51	3	sort_picard	53.2276	4
1		xeond	0:00:00	0.0	0.0	17.2	21.68	14.37	169.02	0.0	3	rule_all	0.0211	2
1	subset_0_1000000	xeond	0:01:10	0.0	392.32	5657.15	5660.49	5656.39	5892.0	244.02	3	mapping	70.4778	4
1	subset_0_1000000	xeond	0:00:53	86.16	263.96	1098.71	1103.48	1097.39	3684.28	199.22	4	sort_picard	53.6858	8
