	#cpu	Reference subject	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
0	1	subset	0.0	0.0	0.0	xeond	0:00:27	739.72	0.01	5185.01	5170.26	5166.03	5421.95	14.12	0	mapping	27.9543	1
1	1		1.0	1.0	0.0	xeond	1:07:25	0.09	6655.8	4441.84	4445.48	4441.16	4465.5	96.88	0	index_bwa	4045.9118	1
2	1	subset_a	2.0	2.0	0.0	xeond	0:00:02	0.0	0.04	51.19	57.04	50.05	3673.97	0.0	0	build_bam	2.5415	1
3	1	subset_b	3.0	3.0	0.0	xeond	0:00:03	0.0	0.06	403.41	409.22	402.29	3681.18	64.99	0	mark_duplicates	3.1346	1
4	1	subset_a	4.0	4.0	0.0	xeond	0:00:06	2.3	3.22	5185.29	5188.83	5184.56	5356.97	57.34	0	mapping	6.4637	1
5	1	subset_a	5.0	5.0	0.0	xeond	0:00:03	0.0	0.07	404.29	410.54	403.12	3681.18	66.18	0	mark_duplicates	3.1494	1
6	1		6.0	6.0	0.0	xeond	0:00:39	217.0	0.01	21.84	28.45	18.62	114.45	31.07	0	index_samtools	39.9646	1
7	1	subset_b	7.0	7.0	0.0	xeond	0:00:02	0.0	0.04	44.54	50.19	43.38	3673.97	0.0	0	build_bam	2.5881	1
8	1	subset	8.0	8.0	0.0	xeond	0:10:43	1.52	0.73	1403.4	1413.48	1396.04	6822.28	102.79	0	realigner	643.7634	1
9	1	subset_a	9.0	9.0	0.0	xeond	0:09:12	0.0	0.55	1390.17	1400.34	1382.86	6822.28	102.27	0	realigner	552.4772	1
10	1	subset_a	10.0	10.0	0.0	xeond	0:00:02	0.0	0.86	148.44	154.67	147.29	3681.16	73.36	0	sort_picard	2.7606	1
11	1		11.0	11.0	0.0	xeond	0:01:08	0.1	2316.75	0.87	3.66	0.51	22.57	40.53	0	gunzip	68.2679	1
12	1		12.0	12.0	0.0	xeond	0:00:19	0.0	0.04	847.84	854.01	846.71	3683.17	80.66	0	index_picard	19.4881	1
13	1	subset	13.0	13.0	0.0	xeond	0:00:03	0.95	2.14	163.99	170.0	162.83	3681.16	55.75	0	sort_picard	3.2224	1
14	1	subset_b	14.0	14.0	0.0	xeond	0:00:05	0.0	0.01	5185.85	5189.57	5185.07	5420.97	54.88	0	mapping	5.8398	1
15	1	subset	15.0	15.0	0.0	xeond	0:00:03	0.01	1.18	487.06	492.76	485.91	3683.18	119.25	0	mark_duplicates	3.5434	1
16	1		16.0	16.0	0.0	xeond	0:02:17	0.0	850.21	1.97	6.65	1.35	43.69	4.81	0	downloadreference	137.4794	1
