#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_100000_200000	xeond	0:18:45	2999.62	2.36	1614.22	1617.6	1613.73	6837.35	101.33	1	realigner	1125.9922	1
1	subset_500000_600000	xeond	0:00:51	0.0	33.1	5274.81	5278.22	5274.36	5431.92	86.38	1	mapping	51.4351	1
1	subset_400000_500000	xeond	0:18:52	0.0	2.2	1594.13	1596.99	1593.64	6837.35	104.44	1	realigner	1132.2539	1
1	subset_700000_800000	xeond	0:18:04	0.0	2.18	1588.54	1591.68	1588.05	6837.35	103.67	1	realigner	1084.9392	1
1	subset_300000_400000	xeond	0:00:12	0.0	12.29	579.41	585.9	578.67	3680.38	167.32	1	sort_picard	12.7904	1
1	subset_800000_900000	xeond	0:00:12	0.0	11.78	577.35	583.73	576.62	3680.38	167.35	1	sort_picard	12.865	1
1	subset_600000_700000	xeond	0:00:51	0.0	33.07	5276.1	5280.05	5275.66	5431.92	85.89	1	mapping	51.7181	1
1	subset_600000_700000	xeond	0:00:12	0.0	11.73	578.98	585.43	578.26	3680.38	163.06	1	sort_picard	12.924000000000001	1
1	subset_800000_900000	xeond	0:19:35	0.0	2.2	1590.12	1593.36	1589.63	6837.35	102.62	1	realigner	1175.0892	1
1	subset_900000_1000000	xeond	0:00:16	0.0	12.89	697.74	703.95	696.97	3682.41	150.92	1	mark_duplicates	16.1626	1
1	subset_100000_200000	xeond	0:00:16	1.0	12.57	689.63	695.67	688.87	3682.41	191.13	1	mark_duplicates	16.7927	1
1	subset_300000_400000	xeond	0:00:07	0.0	2.57	237.83	244.12	237.07	3680.38	148.19	1	build_bam	7.4117	1
1	subset_500000_600000	xeond	0:19:37	0.0	2.72	1587.34	1590.61	1586.89	6837.35	102.69	1	realigner	1177.5686	1
1	subset_500000_600000	xeond	0:00:16	0.0	12.87	699.39	705.64	698.64	3682.41	199.93	1	mark_duplicates	16.6761	1
1	subset_400000_500000	xeond	0:00:07	0.14	2.28	234.04	240.03	233.29	3680.38	151.45	1	build_bam	7.4754	1
1	subset_900000_1000000	xeond	0:00:14	26.3	12.49	582.09	588.67	581.33	3682.0	159.33	1	sort_picard	14.8698	1
1		xeond	0:00:00	0.01	0.0	17.44	22.02	14.71	175.21	0.0	1	rule_all	0.0426	1
1	subset_600000_700000	xeond	0:00:07	0.0	1.74	214.62	220.98	213.86	3680.38	126.77	1	build_bam	7.061	1
1	subset_900000_1000000	xeond	0:00:07	0.0	2.57	238.54	244.79	237.85	3680.38	153.67	1	build_bam	7.4126	1
1	subset_900000_1000000	xeond	0:00:52	0.0	33.11	5275.87	5279.76	5275.41	5431.92	83.89	1	mapping	52.4768	1
1	subset_200000_300000	xeond	0:00:07	0.0	2.58	237.43	243.29	236.72	3682.38	150.31	1	build_bam	7.4424	1
1	subset_800000_900000	xeond	0:00:51	0.0	33.1	5275.72	5279.31	5275.3	5431.92	86.52	1	mapping	51.4027	1
1	subset_400000_500000	xeond	0:00:16	0.0	12.68	697.09	703.09	696.37	3682.41	163.62	1	mark_duplicates	16.2318	1
