#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_1500000_1600000	xeond	0:00:06	0.0	10.71	577.04	583.38	575.95	3681.16	164.55	1	sort_picard	6.8097	1
1	subset_900000_1000000	xeond	0:00:03	0.0	0.9	213.44	219.16	212.42	3681.16	61.31	1	build_bam	3.1939	1
1	subset_500000_600000	xeond	0:00:06	0.0	11.39	567.14	573.33	566.13	3681.16	148.63	1	sort_picard	6.7606	1
1	subset_400000_500000	xeond	0:00:06	0.0	10.59	571.78	578.18	570.79	3682.78	155.11	1	sort_picard	6.8627	1
1	subset_400000_500000	xeond	0:00:03	0.14	0.76	202.16	208.32	201.14	3681.16	59.56	1	build_bam	3.1953	1
1	subset_200000_300000	xeond	0:00:06	0.0	10.57	570.12	576.3	569.12	3681.16	156.51	1	sort_picard	6.8404	1
1	subset_300000_400000	xeond	0:00:28	0.0	5.14	5294.8	5298.61	5294.12	5434.28	48.16	1	mapping	28.9366	1
1	subset_300000_400000	xeond	0:00:07	0.0	12.18	690.91	696.98	689.86	3683.18	187.75	1	mark_duplicates	7.7796	1
1	subset_300000_400000	xeond	0:00:03	0.0	2.57	219.23	225.12	218.21	3681.16	108.58	1	build_bam	3.2686	1
1	subset_500000_600000	xeond	0:00:03	0.0	2.42	223.54	229.41	222.54	3681.16	120.75	1	build_bam	3.2676	1
1	subset_200000_300000	xeond	0:10:07	0.0	1.84	1493.7	1497.4	1492.59	6822.28	102.45	1	realigner	607.6161	1
1	subset_800000_900000	xeond	0:00:28	0.0	33.1	5293.32	5296.84	5292.62	5434.28	49.22	1	mapping	28.5216	1
1	subset_700000_800000	xeond	0:00:28	0.0	33.1	5292.68	5295.95	5291.98	5434.28	48.67	1	mapping	28.7692	1
1	subset_300000_400000	xeond	0:00:06	0.0	11.57	568.1	574.51	567.05	3681.16	143.3	1	sort_picard	6.6531	1
1	subset_700000_800000	xeond	0:00:03	0.0	0.62	190.78	196.9	189.78	3681.16	58.2	1	build_bam	3.2104	1
1	subset_600000_700000	xeond	0:00:07	0.0	11.87	691.16	697.04	690.11	3683.18	163.18	1	mark_duplicates	7.8047	1
1	subset_800000_900000	xeond	0:00:07	0.0	11.91	701.07	707.12	700.01	3683.18	183.92	1	mark_duplicates	7.8109	1
1	subset_100000_200000	xeond	0:00:08	1.07	12.57	695.41	701.21	694.36	3683.18	180.55	1	mark_duplicates	8.2354	1
1	subset_500000_600000	xeond	0:09:42	0.0	1.82	1418.71	1423.04	1417.61	6822.28	102.26	1	realigner	582.501	1
1	subset_800000_900000	xeond	0:09:55	0.0	1.86	1397.25	1401.29	1396.15	6822.28	104.72	1	realigner	595.8329	1
1	subset_700000_800000	xeond	0:10:37	0.0	1.88	1414.18	1418.47	1413.09	6822.28	102.76	1	realigner	637.4419	1
1	subset_200000_300000	xeond	0:00:03	0.0	0.77	207.57	213.54	206.54	3681.16	59.47	1	build_bam	3.2099	1
1	subset_200000_300000	xeond	0:01:41	5177.78	0.01	5215.89	5219.01	5215.2	5427.69	5.56	1	mapping	101.0234	1
1	subset_400000_500000	xeond	0:09:42	0.0	1.82	1432.72	1437.17	1431.58	6822.28	101.35	1	realigner	582.7425	1
1	subset_600000_700000	xeond	0:00:06	0.0	11.02	570.38	576.61	569.32	3681.16	156.19	1	sort_picard	6.7611	1
1	subset_800000_900000	xeond	0:00:03	0.0	2.42	216.58	222.89	215.54	3681.16	111.26	1	build_bam	3.2414	1
1	subset_100000_200000	xeond	0:00:28	0.0	33.1	5290.51	5293.88	5289.83	5434.28	48.37	1	mapping	28.9831	1
1	subset_100000_200000	xeond	0:00:03	0.0	2.58	228.36	234.24	227.32	3681.16	114.12	1	build_bam	3.2577	1
1	subset_300000_400000	xeond	0:09:58	0.0	1.93	1414.24	1418.22	1413.15	6822.28	104.22	1	realigner	598.4381	1
1	subset_900000_1000000	xeond	0:10:07	0.0	1.89	1423.14	1427.36	1422.05	6822.28	102.77	1	realigner	607.0032	1
1	subset_500000_600000	xeond	0:00:07	0.0	12.5	692.59	698.47	691.56	3683.18	150.11	1	mark_duplicates	7.6878	1
1	subset_600000_700000	xeond	0:00:28	0.0	33.07	5290.71	5294.06	5290.02	5434.28	48.84	1	mapping	28.6832	1
1	subset_500000_600000	xeond	0:00:28	0.0	33.1	5293.27	5296.7	5292.55	5434.28	48.79	1	mapping	28.6967	1
1	subset_200000_300000	xeond	0:00:07	0.0	12.41	694.22	699.89	693.22	3683.18	162.94	1	mark_duplicates	7.6924	1
1	subset_400000_500000	xeond	0:00:07	0.0	11.74	697.37	703.46	696.3	3683.18	183.84	1	mark_duplicates	7.836	1
1	subset_100000_200000	xeond	0:10:59	2999.02	1.89	1420.68	1424.98	1419.59	6822.28	102.71	1	realigner	659.8137	1
1	subset_700000_800000	xeond	0:00:06	0.0	11.38	571.19	577.31	570.2	3682.79	146.67	1	sort_picard	6.6686	1
1	subset_900000_1000000	xeond	0:00:07	0.0	11.83	707.95	713.9	706.91	3683.18	194.78	1	mark_duplicates	7.827000000000001	1
1	subset_700000_800000	xeond	0:00:07	0.0	12.15	695.04	701.13	694.0	3683.18	169.68	1	mark_duplicates	7.7767	1
1	subset_400000_500000	xeond	0:00:28	0.0	33.08	5291.54	5294.98	5290.82	5434.28	48.77	1	mapping	28.7409	1
1	subset_800000_900000	xeond	0:00:06	0.0	11.55	571.35	577.86	570.3	3682.78	150.05	1	sort_picard	6.615	1
1	subset_100000_200000	xeond	0:00:06	0.0	11.02	571.51	578.02	570.5	3681.16	145.81	1	sort_picard	6.7703	1
1	subset_600000_700000	xeond	0:00:03	0.0	2.57	235.01	241.16	233.94	3681.16	105.45	1	build_bam	3.2349	1
1	subset_900000_1000000	xeond	0:00:08	26.02	11.75	571.87	578.01	570.89	3681.16	143.99	1	sort_picard	8.7444	1
1		xeond	0:00:00	0.01	0.0	17.04	21.4	14.22	169.02	0.0	1	rule_all	0.0228	1
1	subset_900000_1000000	xeond	0:00:28	0.0	33.11	5290.17	5293.96	5289.47	5434.28	48.85	1	mapping	28.7293	1
1	subset_600000_700000	xeond	0:10:33	0.0	2.11	1426.33	1430.54	1425.25	6822.28	103.41	1	realigner	633.5505	1
1	subset_12000000_12100000	xeond	0:00:09	26.54	10.26	573.74	579.46	572.38	3681.16	119.93	1	sort_picard	9.6949	1
1	subset_6000000_6100000	xeond	0:10:20	0.0	2.11	1418.97	1422.57	1418.23	6822.28	105.28	1	realigner	620.5404	1
1	subset_3000000_3100000	xeond	0:10:04	0.0	1.82	1441.75	1444.44	1440.93	6822.28	102.82	1	realigner	604.6444	1
1	subset_10500000_10600000	xeond	0:00:29	27.32	0.01	5287.95	5291.14	5287.57	5434.28	45.21	1	mapping	29.3138	1
1	subset_4500000_4600000	xeond	0:00:07	0.0	12.58	698.85	704.2	697.46	3683.18	151.39	1	mark_duplicates	7.6763	1
1	subset_1500000_1600000	xeond	0:00:31	0.0	0.01	5278.52	5282.05	5277.89	5432.19	43.86	1	mapping	31.6446	1
1	subset_1500000_1600000	xeond	0:00:03	0.0	2.21	228.58	234.48	227.48	3681.16	123.02	1	build_bam	3.3367	1
1	subset_1500000_1600000	xeond	0:00:07	0.0	12.16	694.83	700.95	693.73	3683.18	170.11	1	mark_duplicates	7.7638	1
1		xeond	0:00:00	0.0	0.0	17.08	21.37	14.33	169.01	0.0	1	rule_all	0.022000000000000002	1
1	subset_1500000_1600000	xeond	0:10:45	0.0	1.84	1424.69	1428.71	1423.65	6822.28	101.36	1	realigner	645.3265	1
1	subset_13500000_13600000	xeond	0:00:03	0.0	2.37	228.0	233.66	226.61	3681.16	119.77	1	build_bam	3.3046	1
1	subset_4500000_4600000	xeond	0:09:48	0.0	2.04	1444.02	1446.99	1443.29	6822.28	105.96	1	realigner	588.9248	1
1	subset_10500000_10600000	xeond	0:00:07	0.0	12.45	690.62	696.43	689.21	3683.18	148.09	1	mark_duplicates	7.6865	1
1	subset_13500000_13600000	xeond	0:00:06	0.0	11.62	571.28	577.2	569.91	3682.79	147.69	1	sort_picard	6.636	1
1	subset_3000000_3100000	xeond	0:00:06	49.12	10.17	576.36	582.35	574.96	3682.78	146.96	1	sort_picard	6.9145	1
1	subset_3000000_3100000	xeond	0:00:07	0.0	12.61	694.82	700.46	693.43	3683.18	152.81	1	mark_duplicates	7.6481	1
1	subset_13500000_13600000	xeond	0:00:29	27.44	0.01	5291.43	5293.91	5291.04	5434.28	45.67	1	mapping	29.2964	1
1	subset_12000000_12100000	xeond	0:00:29	27.32	0.01	5291.79	5294.33	5291.4	5434.28	45.52	1	mapping	29.2685	1
1	subset_13500000_13600000	xeond	0:00:07	0.0	12.18	704.38	709.63	702.98	3683.18	179.79	1	mark_duplicates	7.7915	1
1	subset_6000000_6100000	xeond	0:00:07	0.0	12.1	704.44	709.93	703.05	3683.18	150.33	1	mark_duplicates	7.8660000000000005	1
1	subset_7500000_7600000	xeond	0:00:06	0.0	11.04	571.8	577.61	570.39	3682.78	145.15	1	sort_picard	6.8028	1
1	subset_6000000_6100000	xeond	0:00:03	0.0	2.42	231.97	237.48	230.64	3681.16	115.62	1	build_bam	3.3409	1
1	subset_9000000_9100000	xeond	0:00:29	27.37	0.01	5282.29	5285.24	5281.96	5434.28	44.85	1	mapping	29.6031	1
1	subset_12000000_12100000	xeond	0:00:03	0.0	2.57	228.53	233.88	227.16	3681.16	118.5	1	build_bam	3.2032	1
1	subset_3000000_3100000	xeond	0:00:03	0.0	2.57	238.61	244.33	237.21	3681.16	117.74	1	build_bam	3.3463	1
1	subset_10500000_10600000	xeond	0:00:06	0.0	11.14	573.16	578.92	571.77	3681.16	152.07	1	sort_picard	6.6804	1
1	subset_9000000_9100000	xeond	0:10:04	0.0	1.95	1416.85	1419.98	1415.98	6822.28	103.31	1	realigner	604.5776	1
1	subset_7500000_7600000	xeond	0:00:29	27.27	0.01	5289.17	5292.06	5288.75	5434.28	45.56	1	mapping	29.3162	1
1	subset_12000000_12100000	xeond	0:00:07	0.0	12.74	701.31	706.79	699.89	3683.18	159.53	1	mark_duplicates	7.6133	1
1	subset_4500000_4600000	xeond	0:00:03	0.0	2.42	222.53	228.13	221.2	3681.16	104.66	1	build_bam	3.239	1
1	subset_7500000_7600000	xeond	0:00:03	0.14	0.76	204.45	209.71	203.04	3681.16	59.84	1	build_bam	3.2047	1
1	subset_9000000_9100000	xeond	0:00:03	0.0	2.34	233.35	238.91	231.94	3681.16	120.48	1	build_bam	3.3935	1
1	subset_10500000_10600000	xeond	0:10:48	0.0	2.07	1412.1	1415.23	1411.35	6822.28	105.61	1	realigner	648.4548	1
1	subset_3000000_3100000	xeond	0:01:36	5205.24	0.01	5257.01	5259.95	5256.62	5432.19	11.2	1	mapping	96.2652	1
1	subset_7500000_7600000	xeond	0:00:08	1.07	12.86	697.58	703.0	696.21	3683.18	157.41	1	mark_duplicates	8.2219	1
1	subset_4500000_4600000	xeond	0:01:58	3470.84	33.25	5275.18	5277.98	5274.46	5432.19	20.22	1	mapping	118.5917	1
1	subset_10500000_10600000	xeond	0:00:03	0.0	2.58	224.58	230.4	223.18	3681.16	112.67	1	build_bam	3.2217	1
1	subset_4500000_4600000	xeond	0:00:06	0.0	11.41	578.29	584.23	576.91	3681.16	147.04	1	sort_picard	6.7113	1
1	subset_6000000_6100000	xeond	0:00:29	39.24	0.01	5291.5	5294.27	5291.09	5434.28	45.64	1	mapping	29.2139	1
1	subset_9000000_9100000	xeond	0:00:07	0.0	12.05	696.88	702.69	695.5	3683.18	165.14	1	mark_duplicates	7.7549	1
1	subset_7500000_7600000	xeond	0:10:31	2986.37	1.94	1426.8	1430.61	1426.0	6822.28	102.1	1	realigner	631.5215	1
1		xeond	0:00:00	1.17	0.0	16.94	21.45	14.19	169.02	0.0	1	rule_all	0.0158	1
1	subset_12000000_12100000	xeond	0:09:50	0.0	1.91	1415.91	1419.64	1415.1	6822.28	105.73	1	realigner	590.9533	1
