#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_30000_40000	n3700	0:00:06	0.0	0.93	105.44	111.52	104.08	3352.32	87.8	1	build_bam	6.403	1
1	subset_900000_910000	xeond	0:00:06	0.0	0.69	95.34	102.02	94.31	3352.32	85.07	1	build_bam	6.4209	1
1	subset_500000_510000	xeond	0:00:08	0.0	1.22	475.99	482.24	474.98	3354.35	138.63	1	mark_duplicates	8.6198	1
1	subset_300000_310000	xeond	0:00:29	2276.94	0.01	3523.37	3525.0	3520.98	4464.37	25.78	1	mapping	29.4435	1
1	subset_400000_410000	xeond	0:00:29	2563.86	0.01	3717.88	3721.82	3717.47	4464.37	27.84	1	mapping	29.1782	1
1	subset_100000_110000	xeond	0:00:06	0.14	1.68	147.61	154.44	146.68	3352.32	95.46	1	build_bam	6.2713	1
1	subset_900000_910000	xeond	0:00:07	6.62	0.33	178.95	185.56	177.98	3352.33	105.02	1	sort_picard	7.1589	1
1	subset_400000_410000	xeond	0:00:07	6.62	0.28	180.09	186.94	179.08	3352.33	105.23	1	sort_picard	7.1856	1
1	subset_200000_210000	xeond	0:00:06	0.0	1.26	113.18	119.99	112.17	3352.32	86.28	1	build_bam	6.3938	1
1	subset_600000_610000	xeond	0:20:29	0.0	1.29	836.98	840.87	836.29	4290.91	103.92	1	realigner	1229.3155	1
1	subset_300000_310000	xeond	0:00:07	6.62	0.4	179.45	186.04	178.45	3352.33	106.08	1	sort_picard	7.1442	1
1	subset_200000_210000	xeond	0:19:03	3036.62	1.4	812.65	816.59	812.16	4291.01	103.53	1	realigner	1143.2948	1
1	subset_900000_910000	xeond	0:22:20	0.0	1.32	826.95	830.92	826.23	4290.91	103.82	1	realigner	1340.9954	1
1	subset_300000_310000	xeond	0:00:08	0.0	1.02	482.91	489.18	481.9	3356.23	138.2	1	mark_duplicates	8.8934	1
1	subset_100000_110000	xeond	0:00:28	2443.38	0.01	3915.27	3913.03	3910.76	4464.37	28.67	1	mapping	28.0558	1
1	subset_400000_410000	xeond	0:00:06	0.0	0.93	104.84	111.37	103.89	3352.32	85.55	1	build_bam	6.3820000000000014	1
1	subset_200000_210000	xeond	0:00:28	2303.99	0.01	3683.54	3687.23	3683.02	4464.37	26.39	1	mapping	28.7388	1
1	subset_800000_810000	xeond	0:00:06	0.0	1.26	117.21	123.73	116.21	3352.32	92.46	1	build_bam	6.3149	1
1	subset_100000_110000	xeond	0:00:08	1.0	1.01	480.01	486.45	478.99	3354.35	138.63	1	mark_duplicates	8.7589	1
1		xeond	0:00:00	3.84	0.0	18.77	22.2	17.2	177.52	0.0	1	rule_all	0.0353	1
1	subset_10000_20000	n3700	0:19:36	0.0	1.07	826.41	830.46	825.63	4290.91	103.51	1	realigner	1176.5564	1
1	subset_400000_410000	xeond	0:19:48	0.0	1.21	807.29	810.31	806.58	4424.91	105.55	1	realigner	1188.6662	1
1	subset_900000_910000	xeond	0:00:08	0.08	1.49	478.14	484.88	477.14	3354.35	152.82	1	mark_duplicates	8.4444	1
1	subset_200000_210000	xeond	0:00:07	6.62	0.52	180.69	187.38	179.66	3352.33	110.95	1	sort_picard	7.1184	1
1	subset_800000_810000	xeond	0:00:08	0.0	1.17	475.87	482.34	474.85	3354.35	135.65	1	mark_duplicates	8.8932	1
1	subset_800000_810000	xeond	0:00:29	2298.13	0.01	3370.06	3373.75	3369.64	4464.37	24.2	1	mapping	29.6145	1
1	subset_500000_510000	xeond	0:00:06	0.0	1.26	116.42	122.91	115.41	3352.32	90.5	1	build_bam	6.3329999999999975	1
1	subset_900000_910000	xeond	0:00:24	1975.33	0.01	4672.16	4676.2	4671.76	5203.9	43.68	1	mapping	24.0105	1
1	subset_500000_510000	xeond	0:00:07	6.62	0.63	181.07	187.74	180.06	3352.33	111.31	1	sort_picard	7.1437	1
1	subset_500000_510000	xeond	0:19:08	0.0	1.05	825.83	829.55	825.14	4290.91	103.07	1	realigner	1148.5546	1
1	subset_700000_710000	xeond	0:00:30	2047.56	0.01	3328.85	3330.72	3326.43	4464.37	21.72	1	mapping	30.2275	1
1	subset_800000_810000	xeond	0:20:36	0.0	1.14	809.36	812.86	808.77	4291.01	102.76	1	realigner	1236.1002	1
1	subset_300000_310000	xeond	0:00:06	0.0	1.07	113.56	120.6	112.59	3352.32	90.59	1	build_bam	6.358	1
1	subset_300000_310000	xeond	0:19:56	0.0	1.19	841.82	845.2	841.14	4291.01	104.22	1	realigner	1196.6187	1
1	subset_600000_610000	xeond	0:00:07	6.62	0.64	180.52	187.28	179.58	3352.33	110.17	1	sort_picard	7.0966	1
1	subset_700000_710000	xeond	0:00:08	0.0	1.35	482.75	489.22	481.82	3356.22	141.55	1	mark_duplicates	8.7863	1
1	subset_700000_710000	xeond	0:22:09	0.0	1.18	821.73	825.64	821.02	4290.91	102.84	1	realigner	1329.1634	1
1	subset_600000_610000	xeond	0:00:08	0.0	1.23	479.34	485.63	478.33	3354.35	145.14	1	mark_duplicates	8.7381	1
1	subset_500000_510000	xeond	0:00:27	2409.52	0.01	3900.67	3900.91	3898.26	4464.37	29.06	1	mapping	27.7755	1
1	subset_200000_210000	xeond	0:00:08	0.0	1.12	476.24	482.79	475.23	3356.23	142.14	1	mark_duplicates	8.6535	1
1	subset_400000_410000	xeond	0:00:08	0.0	1.36	474.58	480.82	473.58	3354.35	143.34	1	mark_duplicates	8.7399	1
1	subset_600000_610000	xeond	0:00:28	2308.15	0.01	3666.28	3668.39	3663.86	4464.37	26.1	1	mapping	28.6761	1
1	subset_800000_810000	xeond	0:00:07	6.62	0.5	179.38	186.27	178.44	3352.33	103.32	1	sort_picard	7.1586	1
1	subset_600000_610000	xeond	0:00:06	0.0	1.58	128.99	133.68	128.11	3352.32	94.23	1	build_bam	6.3287	1
1	subset_700000_710000	xeond	0:00:06	0.0	1.31	119.64	126.05	118.66	3352.32	93.13	1	build_bam	6.2803	1
1	subset_10000_20000	n3700	0:00:32	2285.24	0.01	3661.11	3664.32	3660.89	4464.37	22.93	1	mapping	32.2158	1
1	subset_100000_110000	xeond	0:00:07	32.96	0.86	181.95	188.66	180.95	3352.33	103.44	1	sort_picard	7.5254	1
1	subset_10000_20000	n3700	0:00:07	6.57	0.76	180.89	187.37	179.56	3352.33	113.91	1	sort_picard	7.1897	1
1	subset_700000_710000	xeond	0:00:07	0.0	0.4	179.89	186.54	178.96	3352.33	107.07	1	sort_picard	7.0968	1
1	subset_60000_70000	n3700	0:00:06	6.59	0.76	180.62	187.12	179.23	3352.33	112.39	1	sort_picard	6.9903	1
1	subset_20000_30000	n3700	0:20:03	0.0	1.19	819.6	823.21	818.86	4290.91	102.89	1	realigner	1203.5015	1
1	subset_80000_90000	n3700	0:00:07	6.57	0.5	180.64	187.06	179.25	3352.33	107.97	1	sort_picard	7.0652	1
1	subset_40000_50000	n3700	0:00:06	6.59	0.62	177.74	184.41	176.45	3352.33	110.28	1	sort_picard	6.975	1
1	subset_30000_40000	n3700	0:00:08	1.0	1.26	482.04	487.95	480.68	3354.35	139.35	1	mark_duplicates	8.7556	1
1	subset_80000_90000	n3700	0:00:06	0.0	1.37	121.39	127.58	120.02	3352.32	94.81	1	build_bam	6.2701	1
1	subset_60000_70000	n3700	0:20:51	0.0	1.3	815.09	818.8	814.37	4291.01	103.88	1	realigner	1251.6288	1
1	subset_50000_60000	n3700	0:00:07	6.58	1.1	185.1	191.29	183.72	3352.33	111.52	1	sort_picard	7.3031	1
1	subset_80000_90000	n3700	0:00:08	0.0	1.12	477.46	483.84	476.09	3354.35	127.04	1	mark_duplicates	8.9126	1
1	subset_30000_40000	n3700	0:00:39	2057.44	0.01	3418.74	3422.11	3418.52	4464.37	16.79	1	mapping	39.4881	1
1	subset_50000_60000	n3700	0:00:40	2159.59	0.01	3507.62	3511.05	3507.38	4464.37	17.3	1	mapping	40.4537	1
1	subset_20000_30000	n3700	0:00:07	0.0	0.28	178.38	184.8	176.99	3352.33	103.15	1	sort_picard	7.1966	1
1	subset_70000_80000	n3700	0:00:06	0.0	1.0	109.74	116.22	108.35	3352.32	89.6	1	build_bam	6.3738	1
1	subset_50000_60000	n3700	0:00:06	0.14	1.0	110.7	117.21	109.32	3352.32	89.31	1	build_bam	6.3717	1
1	subset_50000_60000	n3700	0:00:08	0.0	1.12	474.81	480.6	473.43	3354.35	139.15	1	mark_duplicates	8.7144	1
1	subset_40000_50000	n3700	0:00:08	0.0	1.12	476.44	482.67	475.07	3354.35	140.08	1	mark_duplicates	8.5994	1
1	subset_70000_80000	n3700	0:00:07	6.58	0.39	180.76	187.22	179.39	3352.33	106.81	1	sort_picard	7.0987	1
