#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1		avoton	0:00:00	0.01	0.0	17.39	22.14	14.43	175.21	0.0	1	rule_all	0.057999999999999996	1
1	subset_0_90000	avoton	0:00:12	0.0	9.56	495.84	502.19	495.09	3680.38	170.22	1	sort_picard	12.1016	1
1	subset_0_200000	avoton	0:00:24	0.0	7.52	747.54	752.79	746.52	3682.41	138.28	1	mark_duplicates	24.5138	1
1	subset_0_300000	avoton	0:02:18	125.45	162.98	5286.11	5289.61	5285.45	5431.92	97.58	1	mapping	138.5793	1
1	subset_0_800000	avoton	0:06:09	924.98	456.39	5294.79	5298.38	5294.27	5425.71	90.88	1	mapping	369.6502	1
1	subset_0_900000	avoton	0:22:02	2503.49	4.95	1560.27	1563.46	1559.57	6837.35	102.86	1	realigner	1322.7076	1
1	subset_0_700000	avoton	0:00:12	0.0	3.99	411.24	417.25	410.25	3680.38	131.72	1	build_bam	12.6523	1
1	subset_0_500000	avoton	0:00:46	1.66	30.96	898.39	903.05	897.39	3683.42	86.61	1	sort_picard	46.5277	1
1	subset_0_700000	avoton	0:05:12	191.12	391.18	5284.58	5288.3	5284.06	5431.92	92.19	1	mapping	312.1672	1
1	subset_0_300000	avoton	0:00:29	0.0	30.01	898.25	903.49	897.24	3683.42	132.93	1	sort_picard	29.8993	1
1	subset_0_100000	avoton	0:00:12	0.0	12.04	579.49	585.59	578.49	3680.38	179.48	1	sort_picard	12.7479	1
1	subset_0_700000	avoton	0:01:02	5.99	155.62	1129.1	1134.74	1128.14	3683.42	189.5	1	sort_picard	62.0302	1
1	subset_0_600000	avoton	0:20:34	0.0	4.1	1600.67	1603.56	1599.96	6837.35	104.18	1	realigner	1234.6539	1
1	subset_0_100000	avoton	0:00:52	47.59	32.56	5275.42	5278.82	5274.79	5431.92	84.33	1	mapping	52.027	1
1	subset_0_200000	avoton	0:00:07	0.0	2.84	234.59	240.74	233.59	3680.38	120.62	1	build_bam	7.86	1
1	subset_0_800000	avoton	0:01:11	0.0	41.14	888.07	893.86	887.07	3682.41	92.98	1	mark_duplicates	71.4365	1
1		avoton	0:00:00	2.97	0.0	17.44	22.1	14.5	175.21	0.0	1	rule_all	0.0414	1
1	subset_0_200000	avoton	0:01:35	92.8	97.77	5282.19	5285.86	5281.5	5431.92	78.2	1	mapping	95.3119	1
1	subset_0_900000	avoton	0:00:14	0.14	4.21	412.44	419.09	411.42	3680.38	134.47	1	build_bam	14.8739	1
1	subset_0_100000	avoton	0:18:16	0.0	2.17	1593.93	1596.53	1593.25	6837.35	102.24	1	realigner	1096.3279	1
1	subset_0_30000	avoton	0:25:59	63.72	1.69	1556.29	1559.72	1555.68	6837.35	103.32	1	realigner	1559.0439	1
1	subset_0_30000	avoton	0:00:13	0.0	3.91	555.48	561.38	554.58	3682.41	214.5	1	mark_duplicates	13.5318	1
1	subset_0_10000	avoton	0:23:17	0.0	1.37	1529.63	1532.95	1529.06	6837.35	103.14	1	realigner	1397.8251	1
1	subset_0_500000	avoton	0:20:50	0.0	4.1	1617.57	1620.22	1616.86	6837.35	105.01	1	realigner	1250.7151	1
1	subset_0_300000	avoton	0:20:09	0.0	3.24	1616.14	1618.64	1615.47	6837.35	103.75	1	realigner	1209.6681	1
1	subset_0_10000	avoton	0:00:09	0.0	1.0	490.5	496.55	489.61	3682.41	154.61	1	mark_duplicates	9.5712	1
1	subset_0_200000	avoton	0:00:20	0.0	10.77	762.17	767.68	761.2	3680.38	185.4	1	sort_picard	20.6017	1
1	subset_0_400000	avoton	0:00:09	0.0	3.52	385.67	392.07	384.68	3680.38	126.5	1	build_bam	9.943	1
1	subset_0_800000	avoton	0:00:13	0.0	3.87	418.59	424.83	417.57	3680.38	135.02	1	build_bam	13.9254	1
1	subset_0_400000	avoton	0:20:52	0.04	3.67	1606.13	1609.52	1605.45	6837.35	105.45	1	realigner	1252.4172	1
1	subset_0_200000	avoton	0:19:18	0.0	3.08	1582.58	1585.21	1581.89	6973.49	105.66	1	realigner	1158.7016	1
1	subset_0_300000	avoton	0:00:32	0.0	3.34	763.34	769.15	762.34	3682.41	91.35	1	mark_duplicates	32.4131	1
1	subset_0_900000	avoton	0:01:22	614.5	253.17	1094.55	1099.59	1093.59	3749.64	194.93	1	sort_picard	82.2674	1
1	subset_0_400000	avoton	0:03:01	109.22	228.2	5284.48	5288.13	5283.88	5431.92	91.15	1	mapping	181.86900000000003	1
1	subset_0_600000	avoton	0:00:55	7.07	147.92	1057.43	1063.68	1056.45	3683.42	196.81	1	sort_picard	55.9233	1
1	subset_0_500000	avoton	0:00:49	0.0	54.91	813.03	819.2	812.04	3682.41	125.94	1	mark_duplicates	49.62	1
1	subset_0_800000	avoton	0:01:10	241.73	154.46	1141.39	1147.03	1140.42	3687.58	173.45	1	sort_picard	70.3458	1
1	subset_0_500000	avoton	0:00:11	0.0	3.7	382.67	388.98	381.68	3680.38	144.32	1	build_bam	11.0965	1
1	subset_0_700000	avoton	0:22:08	0.0	4.57	1594.69	1597.22	1594.01	6837.35	103.35	1	realigner	1328.1332	1
1	subset_0_400000	avoton	0:00:37	0.0	28.7	901.04	905.95	900.06	3683.42	106.66	1	sort_picard	37.4764	1
1	subset_0_700000	avoton	0:01:04	0.0	45.68	860.66	866.88	859.69	3682.41	100.06	1	mark_duplicates	64.5301	1
1	subset_0_900000	avoton	0:01:22	0.13	96.62	924.32	930.55	923.3	3682.41	134.57	1	mark_duplicates	82.1158	1
1	subset_0_800000	avoton	0:22:01	0.0	4.78	1607.92	1610.95	1607.22	6837.35	103.87	1	realigner	1321.9943	1
1	subset_0_600000	avoton	0:04:28	163.94	358.57	5283.99	5287.65	5283.44	5431.92	95.93	1	mapping	268.1481	1
1	subset_0_500000	avoton	0:03:44	136.49	260.8	5290.21	5293.68	5289.55	5431.92	87.42	1	mapping	224.5631	1
1	subset_0_600000	avoton	0:00:11	0.0	3.65	393.41	399.92	392.39	3680.38	139.0	1	build_bam	11.8363	1
1	subset_0_100000	avoton	0:00:07	0.0	2.57	226.64	235.82	225.64	3680.38	153.15	1	build_bam	7.3857	1
1	subset_0_400000	avoton	0:00:41	0.0	0.78	555.99	561.9	554.99	3680.41	71.51	1	mark_duplicates	41.5036	1
1	subset_0_600000	avoton	0:00:55	0.0	52.13	835.01	840.85	834.03	3682.41	111.2	1	mark_duplicates	55.9792	1
