#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_7000000	xeond	0:14:47	3.64	8.7	1403.35	1406.48	1402.37	6960.42	104.73	1	realigner	887.935	1
1	subset_0_7000000	xeond	0:05:52	4578.35	2027.91	1114.45	1119.11	1113.45	3684.2	183.75	1	sort_picard	352.4787	1
1	subset_0_8000000	xeond	0:06:40	5231.68	2230.45	1125.08	1130.54	1124.07	3684.2	179.48	1	sort_picard	400.974	1
1	subset_0_8000000	xeond	0:05:56	807.04	1273.69	1071.85	1077.15	1070.81	3686.2	120.87	1	mark_duplicates	356.3649	1
1	subset_0_7000000	xeond	0:29:29	8806.49	4544.64	5298.67	5302.49	5298.02	5432.19	98.25	1	mapping	1769.5621	1
1	subset_0_8000000	xeond	0:33:55	9525.19	5198.58	5298.25	5301.58	5297.62	5432.19	98.87	1	mapping	2035.7108	1
1	subset_0_9000000	xeond	0:06:40	898.22	1380.69	1084.6	1090.36	1083.6	3686.2	118.26	1	mark_duplicates	400.3984	1
1	subset_0_6000000	xeond	0:04:27	602.34	951.84	992.76	997.85	991.76	3686.21	116.49	1	mark_duplicates	267.332	1
1	subset_0_4000000	xeond	0:03:26	2615.54	1127.57	1102.97	1108.12	1101.96	3684.2	182.37	1	sort_picard	206.5594	1
1	subset_0_4000000	xeond	0:17:01	5230.43	2550.1	5289.71	5293.13	5289.07	5425.99	96.5	1	mapping	1021.3656	1
1	subset_0_5000000	xeond	0:00:28	0.0	3.09	418.63	424.84	417.6	3681.16	60.38	1	build_bam	28.7239	1
1	subset_0_6000000	xeond	0:14:47	4.53	7.5	1399.92	1402.66	1398.95	6822.28	101.51	1	realigner	887.1451	1
1	subset_0_4000000	xeond	0:13:36	4.82	6.88	1432.14	1434.58	1431.18	6822.28	102.73	1	realigner	816.2199	1
1	subset_0_9000000	xeond	0:16:50	3050.42	8.49	1569.22	1571.76	1568.29	6822.28	103.39	1	realigner	1010.1517	1
1	subset_0_9000000	xeond	0:00:50	0.22	5.26	424.97	430.93	423.93	3681.16	97.52	1	build_bam	50.1955	1
1	subset_0_7000000	xeond	0:05:10	711.59	1069.15	1146.42	1152.63	1145.41	3686.21	113.55	1	mark_duplicates	310.861	1
