#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_30000	n3700	0:20:59	64.73	1.57	816.53	819.71	816.09	4290.91	103.26	1	realigner	1259.8669	1
1	subset_0_40000	n3700	0:00:07	0.0	1.48	200.4	206.55	198.88	3352.32	111.57	1	build_bam	7.0492	1
1	subset_0_40000	n3700	0:00:10	0.0	4.58	290.78	296.41	289.31	3352.33	165.9	1	sort_picard	10.0896	1
1		n3700	0:00:29	0.67	0.04	738.38	744.27	736.91	3354.34	54.46	1	index_picard	29.8275	1
1	subset_0_50000	n3700	0:19:50	0.0	1.98	830.49	833.67	829.87	4290.91	104.27	1	realigner	1190.3879	1
1	subset_0_400000	n3700	0:22:59	0.0	3.73	819.79	824.0	819.12	4290.91	103.61	1	realigner	1379.0018	1
1	subset_0_500000	n3700	0:00:54	358.5	125.87	897.73	904.32	896.73	3421.59	155.32	1	sort_picard	54.981	1
1	subset_0_300000	n3700	0:00:35	0.0	1.12	758.42	765.1	757.46	3354.35	73.72	1	mark_duplicates	35.8144	1
1	subset_0_80000	n3700	0:00:07	0.0	1.8	209.12	216.12	208.27	3352.32	125.49	1	build_bam	7.6219	1
1	subset_0_500000	n3700	0:23:30	3065.59	4.1	839.28	843.41	838.63	4290.91	104.17	1	realigner	1410.315	1
1	subset_0_10000	n3700	0:00:06	6.38	0.75	181.58	187.66	180.07	3352.33	114.75	1	sort_picard	6.9086	1
1	subset_0_60000	n3700	0:00:50	5194.21	32.46	5247.8	5250.93	5247.45	5423.51	71.04	1	mapping	50.3074	1
1	subset_0_20000	n3700	0:20:28	0.0	1.32	814.36	817.73	813.91	4290.91	103.78	1	realigner	1228.0178	1
1	subset_0_400000	n3700	0:00:11	0.0	3.44	371.21	378.33	370.24	3352.32	124.02	1	build_bam	11.3286	1
1	subset_0_70000	n3700	0:19:35	0.0	2.24	822.77	826.34	822.11	4292.9	105.07	1	realigner	1175.7424	1
1	subset_0_70000	n3700	0:00:16	0.0	8.83	675.02	681.78	674.15	3354.35	193.78	1	mark_duplicates	16.3366	1
1	subset_0_80000	n3700	0:19:00	0.0	2.06	831.81	835.65	831.16	4290.91	104.12	1	realigner	1140.5818	1
1	subset_0_80000	n3700	0:01:00	4101.41	32.46	5260.6	5264.59	5259.98	5425.01	62.81	1	mapping	60.3176	1
1	subset_0_70000	n3700	0:00:07	0.01	1.67	213.52	220.41	212.62	3352.32	127.28	1	build_bam	7.6136	1
1	subset_0_200000	n3700	0:00:09	0.0	2.43	221.78	228.4	220.77	3352.32	137.2	1	build_bam	9.3993	1
1	subset_0_40000	n3700	0:00:12	0.0	5.0	552.66	558.37	551.22	3354.35	191.23	1	mark_duplicates	12.396	1
1		n3700	0:00:00	3.96	0.0	19.41	22.27	18.54	177.51	0.0	1	rule_all	0.0351	1
1	subset_0_80000	n3700	0:00:12	51.97	9.15	474.83	481.7	473.8	3352.33	146.35	1	sort_picard	12.3748	1
1	subset_0_5000	n3700	0:20:48	0.0	1.11	838.64	841.61	838.21	4290.91	101.97	1	realigner	1248.3837	1
1	subset_0_30000	n3700	0:00:37	2928.02	0.01	3932.77	3932.36	3932.58	4464.37	23.75	1	mapping	37.3972	1
1	subset_0_90000	n3700	0:21:32	3063.11	2.89	813.04	817.38	812.38	4290.91	103.21	1	realigner	1292.0506	1
1		n3700	0:00:00	3.84	0.0	18.1	22.31	15.79	177.52	0.0	1	rule_all	0.0362	1
1		n3700	2:06:17	5239.27	6655.8	4441.24	4444.18	4440.8	4467.51	99.61	1	index_bwa	7577.2139	1
1	subset_0_20000	n3700	0:00:06	0.0	1.37	140.37	146.55	138.92	3352.32	96.8	1	build_bam	6.4772	1
1	subset_0_60000	n3700	0:00:07	0.14	2.03	217.79	223.86	216.42	3352.32	129.67	1	build_bam	7.3672	1
1		n3700	0:00:00	5.93	0.0	17.7	22.3	14.99	177.51	0.0	1	rule_all	0.0356	1
1	subset_0_2000000	n3700	0:16:09	6269.96	1275.04	5299.53	5302.55	5299.27	5434.21	98.14	1	mapping	969.9732	1
1	subset_0_1000000	n3700	0:01:34	0.0	82.35	908.5	914.37	907.06	3354.35	101.16	1	mark_duplicates	94.4964	1
1	subset_0_1000000	n3700	0:00:16	0.0	4.06	404.48	410.74	403.03	3352.32	117.81	1	build_bam	16.414	1
1	subset_0_3000000	n3700	0:00:35	0.14	1.87	401.09	407.13	399.63	3352.32	57.8	1	build_bam	35.1681	1
1	subset_0_1000000	n3700	0:23:54	0.0	5.33	819.88	823.25	819.36	4291.01	104.67	1	realigner	1434.5513	1
1	subset_0_3000000	n3700	0:04:17	1993.88	887.77	1091.29	1097.24	1089.82	3421.59	149.53	1	sort_picard	257.231	1
1	subset_0_2000000	n3700	0:02:55	1307.78	569.57	1061.64	1067.52	1060.2	3355.37	145.15	1	sort_picard	175.3491	1
1	subset_0_1000000	n3700	0:01:33	66.04	244.42	1099.61	1104.91	1098.15	3355.37	143.21	1	sort_picard	93.9693	1
1	subset_0_2000000	n3700	0:27:06	0.01	6.32	824.73	827.91	824.25	4292.71	102.94	1	realigner	1626.9533	1
1	subset_0_3000000	n3700	0:24:56	6467.91	1928.88	5300.09	5303.66	5299.82	5434.21	100.48	1	mapping	1496.4252	1
1	subset_0_2000000	n3700	0:03:05	0.0	255.6	881.21	887.2	879.72	3357.37	107.27	1	mark_duplicates	185.4786	1
1	subset_0_200000	n3700	0:00:26	0.0	4.81	711.87	718.24	710.86	3354.35	104.48	1	mark_duplicates	26.7411	1
1	subset_0_3000000	n3700	0:29:55	3066.46	7.16	816.65	820.14	816.18	4290.91	103.65	1	realigner	1795.3523	1
1	subset_0_40000	n3700	0:00:41	3143.0	0.01	4002.84	4003.04	4002.54	4464.37	21.23	1	mapping	41.0445	1
1	subset_0_3000000	n3700	0:04:26	0.27	409.44	975.8	981.31	974.3	3357.37	109.81	1	mark_duplicates	266.8254	1
1	subset_0_70000	n3700	0:00:54	3730.38	32.46	5254.44	5258.05	5253.84	5425.01	69.36	1	mapping	54.4061	1
1	subset_0_300000	n3700	0:00:10	0.0	3.01	332.23	339.09	331.29	3352.32	132.36	1	build_bam	10.3959	1
1		n3700	0:00:00	3.31	0.0	17.37	22.14	14.55	177.51	0.0	1	rule_all	0.0361	1
1	subset_0_200000	n3700	0:20:34	0.0	2.88	821.83	825.72	821.12	4290.91	103.32	1	realigner	1234.2578	1
1	subset_0_500000	n3700	0:05:02	4707.24	293.4	5286.13	5289.77	5285.73	5428.01	86.52	1	mapping	302.8287	1
1	subset_0_400000	n3700	0:00:44	0.0	0.38	505.68	512.43	504.71	3352.35	60.86	1	mark_duplicates	44.9274	1
1	subset_0_200000	n3700	0:00:23	0.0	4.53	748.78	755.55	747.8	3352.33	131.81	1	sort_picard	23.3794	1
1	subset_0_300000	n3700	0:02:58	4645.54	162.98	5297.46	5301.29	5296.98	5434.21	82.2	1	mapping	178.9707	1
1	subset_0_400000	n3700	0:04:01	4912.52	228.2	5283.3	5287.24	5282.92	5428.01	81.01	1	mapping	241.1048	1
1	subset_0_500000	n3700	0:00:11	0.14	3.48	376.55	383.68	375.6	3352.32	127.75	1	build_bam	11.9734	1
1	subset_0_500000	n3700	0:00:53	0.26	48.0	803.71	810.34	802.72	3354.35	116.87	1	mark_duplicates	53.5312	1
1	subset_0_1000000	n3700	0:08:19	5712.8	621.19	5295.92	5299.08	5295.67	5434.21	98.78	1	mapping	499.5747	1
1	subset_0_90000	n3700	0:00:07	0.14	1.69	207.66	214.81	206.73	3352.32	123.62	1	build_bam	7.669	1
1	subset_0_2000000	n3700	0:00:25	0.0	2.73	399.33	405.67	397.84	3352.32	77.52	1	build_bam	25.7277	1
1	subset_0_60000	n3700	0:00:13	1.23	7.82	635.57	641.76	634.16	3354.35	164.12	1	mark_duplicates	13.8997	1
1	subset_0_70000	n3700	0:00:11	0.0	7.77	476.44	483.38	475.41	3352.33	152.79	1	sort_picard	11.9385	1
1	subset_0_20000	n3700	0:00:31	2820.04	0.01	4176.33	4175.55	4176.15	4464.37	30.45	1	mapping	31.1767	1
1	subset_0_100000	n3700	0:00:14	39.79	11.11	561.6	568.36	560.58	3352.33	149.46	1	sort_picard	14.9053	1
1	subset_0_800000	n3700	0:06:42	5426.45	456.39	5297.85	5301.32	5297.53	5436.3	92.34	1	mapping	402.0883	1
1	subset_0_5000	n3700	0:00:07	0.0	0.63	437.3	443.1	435.79	3354.35	131.71	1	mark_duplicates	7.354	1
1	subset_0_100000	n3700	0:00:07	0.14	1.62	206.82	213.46	205.81	3352.32	123.65	1	build_bam	7.6803	1
1	subset_0_30000	n3700	0:00:09	46.37	3.79	289.9	295.61	288.43	3352.33	154.0	1	sort_picard	9.357	1
1	subset_0_10000	n3700	0:00:08	0.0	1.44	472.5	478.35	471.04	3354.35	151.81	1	mark_duplicates	8.4597	1
